,index,upper1,upper2,upper3,lower1,lower2,alpha,power,sample_size,max_ess,obj_func,temperature,execute_time,seed
0,1001,2.959902234222814,2.7460978067204125,1.8671949842010052,-2.5541937318677905,-1.6735198930545883,0.03212248685994198,0.48909507787226447,20.13243523950072,59.64666964433354,26.46320783077534,100.0,1.599419116973877,128859322174897916961958858909033894288
1,1002,2.959902234222814,2.7460978067204125,1.8671949842010052,-1.6993184863338087,-1.6735198930545883,0.03211797501804638,0.9976974155485865,132.23981075959392,388.12259613651037,4.038449672446727,99.8,1.599419116973877,128859322174897916961958858909033894288
2,1003,2.959902234222814,2.7460978067204125,1.8671949842010052,-1.6993184863338087,-1.6735198930545883,0.03211797501804638,0.7938372147445734,43.12055477640894,126.55823906892886,2.6076477106174996,99.6,1.599419116973877,128859322174897916961958858909033894288
3,1004,2.646150030522917,2.4323456030205155,1.8671949842010052,-1.6993184863338087,-1.6735198930545883,0.035021624263070254,0.7980586338580709,43.12055477640894,125.33903984349287,2.449611011914431,99.4,1.599419116973877,128859322174897916961958858909033894288
4,1005,2.646150030522917,2.4323456030205155,1.8671949842010052,-2.645188104424544,-1.6735198930545883,0.035025866017858634,0.7980830130014518,43.12055477640894,126.96037573143039,2.459343283342458,99.2,1.599419116973877,128859322174897916961958858909033894288
5,1006,2.968508588948621,2.4323456030205155,1.8671949842010052,-2.645188104424544,-1.6735198930545883,0.03357360435512864,0.7966221555959203,43.12055477640894,127.30487504435936,2.514837965891663,99.0,1.599419116973877,128859322174897916961958858909033894288
6,1007,3.128665184587889,2.5925021986597834,2.027351579840273,-2.4850315087852763,-1.5133632974153204,0.023088998377773562,0.7479232330855549,43.12055477640894,127.31593866615712,4.502624245584306,98.8,1.599419116973877,128859322174897916961958858909033894288
7,1008,3.3069353076168557,2.5925021986597834,2.027351579840273,-2.4850315087852763,-1.5133632974153204,0.022883116172533868,0.7475991078615852,43.12055477640894,127.40041123615335,4.520099716927075,98.6,1.599419116973877,128859322174897916961958858909033894288
8,1009,3.3069353076168557,2.5925021986597834,2.027351579840273,-2.4850315087852763,-1.5133632974153204,0.022883116172533868,0.9985838037262267,150.44296914226092,444.48637222731696,4.494970985200096,98.4,1.599419116973877,128859322174897916961958858909033894288
9,1010,3.3069353076168557,2.5925021986597834,2.027351579840273,-2.4342713411360863,-1.5133632974153204,0.022883115850335506,0.9985845557620671,150.44296914226092,444.40508477634944,4.494466515267824,98.2,1.599419116973877,128859322174897916961958858909033894288
10,1011,3.3069353076168557,2.5925021986597834,2.027351579840273,-2.481506675887217,-1.5133632974153204,0.02288311625940115,0.9985838562160276,150.44296914226092,444.4807155316235,4.494935883584077,98.0,1.599419116973877,128859322174897916961958858909033894288
11,1012,3.3069353076168557,2.5925021986597834,2.027351579840273,-2.481506675887217,-1.5133632974153204,0.02288311625940115,0.9971451626228504,137.361617199271,405.8324662573315,4.2008086984335655,97.8,1.599419116973877,128859322174897916961958858909033894288
12,1013,4.111393658077954,3.396960549120882,2.8318099303013717,-1.6770483254261181,-0.7089049469542217,0.0024628202475721296,0.9748761828245316,137.361617199271,405.5723687530531,3.843609775090628,97.6,1.599419116973877,128859322174897916961958858909033894288
