Unnamed: 0,index,upper1,upper2,upper3,lower1,lower2,alpha,power,sample_size,max_ess,obj_func,temperature,execute_time,seed
0,1001,1.3582722622192025,1.155494416764437,0.4821159069049823,-3.636822867499083,-0.9863685108475068,0.3443837160493279,1.0000371852117371,153.62443649725097,397.6784855452454,17.481314085566225,50.0,0.974921464920044,37453125927448852678250386378238364558
1,1002,1.3582722622192025,1.155494416764437,0.4821159069049823,-3.636822867499083,-0.9863685108475068,0.3443837160493279,1.0000297193356182,126.12413411877996,326.49008055407484,17.019269044090148,49.9,0.974921464920044,37453125927448852678250386378238364558
2,1003,1.3582722622192025,1.155494416764437,0.4821159069049823,-3.636822867499083,-0.9863685108475068,0.3443837160493279,0.9999571898806704,105.31360035182502,272.61908359208485,16.66756014863284,49.8,0.974921464920044,37453125927448852678250386378238364558
3,1004,1.3582722622192025,1.155494416764437,0.4821159069049823,-3.8877089549597463,-1.237254598308171,0.3448386413213983,0.99996477769735,105.31360035182502,278.3032272064428,16.745988311754093,49.7,0.974921464920044,37453125927448852678250386378238364558
4,1005,1.3582722622192025,1.155494416764437,0.4821159069049823,-4.879284049202745,-1.237254598308171,0.3448288603343397,0.9999881280126812,105.31360035182502,278.3022489098535,16.74581262207833,49.6,0.974921464920044,37453125927448852678250386378238364558
5,1006,1.597583586551645,1.155494416764437,0.4821159069049823,-4.879284049202745,-1.237254598308171,0.335549148549686,0.9999895228220164,105.31360035182502,283.59609191674895,15.94999004527371,49.5,0.974921464920044,37453125927448852678250386378238364558
6,1007,0.4973048557984716,0.0552156860112635,-0.6181628238481911,-5.979562779955919,-2.3375333290613445,0.7636062893368979,1.0000426851933242,105.31360035182502,226.3420370069464,81.5091697203506,49.4,0.974921464920044,37453125927448852678250386378238364558
7,1008,1.4688859087633823,1.155494416764437,0.4821159069049823,-4.879284049202745,-1.237254598308171,0.3398691883952992,0.9999898629282794,105.31360035182502,281.0205644044216,16.316481375905763,49.3,0.974921464920044,37453125927448852678250386378238364558
8,1009,1.4688859087633823,1.155494416764437,0.4821159069049823,-5.588796025168121,-1.946766574273547,0.3400114120660615,1.0000115496573647,105.31360035182502,289.6703521302812,16.38597616123517,49.2,0.974921464920044,37453125927448852678250386378238364558
9,1010,1.4688859087633823,1.155494416764437,0.4821159069049823,-5.588796025168121,-1.946766574273547,0.3400114120660615,1.000001077442103,103.98435134493046,286.01418591234113,16.361934932078874,49.1,0.974921464920044,37453125927448852678250386378238364558
10,1011,1.4688859087633823,1.155494416764437,0.4821159069049823,-4.704220864355582,-1.062191413461008,0.3396147291504635,0.9999733598527096,103.98435134493046,273.7263293821999,16.245923295945378,49.0,0.974921464920044,37453125927448852678250386378238364558
11,1012,1.4688859087633823,1.155494416764437,0.4821159069049823,-4.704220864355582,-1.062191413461008,0.3396147291504635,1.0000556627807284,124.06916973864972,326.5972041254976,16.59144600855481,48.9,0.974921464920044,37453125927448852678250386378238364558
12,1013,1.4688859087633823,1.155494416764437,0.4821159069049823,-3.373093968377585,-1.062191413461008,0.3396275035874482,1.0000261866299611,124.06916973864972,326.5588755594367,16.59142887189603,48.8,0.974921464920044,37453125927448852678250386378238364558
13,1014,3.14983014589653,2.8364386538975843,0.4821159069049823,-3.373093968377585,-1.062191413461008,0.3144712156827395,0.999934934090438,124.06916973864972,364.8233043640288,14.688149114486391,48.7,0.974921464920044,37453125927448852678250386378238364558
14,1015,3.14983014589653,2.8364386538975843,0.4821159069049823,-3.373093968377585,-1.062191413461008,0.3144712156827395,0.999953046455654,131.00672736758403,385.2230446513879,14.82104479152628,48.6,0.974921464920044,37453125927448852678250386378238364558
15,1016,1.7486851132523968,1.435293621253451,-0.9190291257391509,-4.774239001021718,-2.463336446105141,0.8209861523066389,1.0000927450615589,131.00672736758403,374.5102424260084,95.60322737890012,48.5,0.974921464920044,37453125927448852678250386378238364558
16,1017,3.14983014589653,2.8364386538975843,0.4821159069049823,-3.373093968377585,-1.062191413461008,0.3144712156827395,0.9999344798703548,123.92055533555823,364.3862903395964,14.685300114292078,48.4,0.974921464920044,37453125927448852678250386378238364558
17,1018,3.050386802737337,2.8364386538975843,0.4821159069049823,-3.373093968377585,-1.062191413461008,0.3144883258863669,0.9999446394964868,123.92055533555823,364.0507422299764,14.684831514638551,48.3,0.974921464920044,37453125927448852678250386378238364558
18,1019,2.602511733357616,2.388563584517862,0.0342408375252604,-3.8209690377573073,-1.5100664828407298,0.4861110570782562,1.0000216190026092,123.92055533555823,363.4695605036867,33.218152098129806,48.2,0.974921464920044,37453125927448852678250386378238364558
19,1020,4.213723830560609,3.999775681720856,1.6454529347282534,-2.209756940554314,0.1011456143622631,0.0496522362344766,0.997996324446126,123.92055533555823,364.9014026283677,3.847552424252373,48.1,0.974921464920044,37453125927448852678250386378238364558
