sample_size lower1 upper1 lower2 upper2 lower3 upper3
91.9543 3.13269e-16 2.13029 1.12976 1.88293 1.21274 1.21274 
72.0314 3.13269e-16 2.13029 1.12976 1.88293 1.18675 1.18675 
42.7624 3.13269e-16 2.13029 1.12976 1.88293 1.21728 1.21728 
76.7129 -2.75005 3.41873 1.12976 1.88293 1.84489 1.84489 
60.4983 3.13269e-16 2.13029 1.12976 1.88293 1.44059 1.44059 
26.0138 3.13269e-16 2.13029 0.434219 2.00928 1.84489 1.84489 
20.161 -3.24936 2.37292 1.12976 1.88293 1.84489 1.84489 
97.014 3.13269e-16 2.13029 1.0769 2.04265 1.84489 1.84489 
80.6481 3.13269e-16 2.13029 0.490933 1.92881 1.84489 1.84489 
64.0281 -3.36025 3.73717 1.12976 1.88293 1.84489 1.84489 
65.5673 1.04474 3.4226 1.12976 1.88293 1.84489 1.84489 
108.521 3.13269e-16 2.13029 0.318889 2.08057 1.84489 1.84489 
115.386 -2.33978 2.3009 1.12976 1.88293 1.84489 1.84489 
39.1108 3.13269e-16 2.13029 1.12976 1.88293 1.19113 1.19113 
49.948 3.13269e-16 2.13029 1.21046 1.96737 1.84489 1.84489 
7.35616 0.291181 1.96232 1.12976 1.88293 1.84489 1.84489 
85.9631 -0.289617 3.07291 1.12976 1.88293 1.84489 1.84489 
125.25 3.13269e-16 2.13029 1.12976 1.88293 1.59898 1.59898 
76.5442 -2.10688 2.06303 1.12976 1.88293 1.84489 1.84489 
90.4962 3.13269e-16 2.13029 1.12976 1.88293 1.24782 1.24782 
6.20527 3.13269e-16 2.13029 1.12976 1.88293 1.38228 1.38228 
37.2554 -2.66098 3.40589 1.12976 1.88293 1.84489 1.84489 
72.9126 3.13269e-16 2.13029 1.12976 1.88293 1.79656 1.79656 
68.223 3.13269e-16 2.13029 1.21607 1.93481 1.84489 1.84489 
39.2667 3.13269e-16 2.13029 1.39591 1.84932 1.84489 1.84489 
