index,loop_n,restart,upper1,upper2,upper3,lower1,lower2,alpha,power,sample_size,max_ess,obj_func,temperature
35598,1,3,2.1176,1.98073,1.84889,0.0879136,1.01373,0.0475958,0.902208,64.7127,129.344,129.344,9.8821
35599,1,3,2.1176,1.96658,1.84889,0.0879136,0.996667,0.0481494,0.902987,64.6643,129.282,129.282,9.87232
35600,1,3,2.1176,1.96658,1.85193,0.0879136,0.996667,0.0480399,0.902459,64.5834,129.12,129.12,9.86255
35601,1,3,2.1176,1.96658,1.84738,0.0879136,0.996667,0.0482037,0.902003,64.3806,128.715,128.715,9.85278
35602,1,3,2.1176,1.99075,1.84738,0.0879136,0.98937,0.0475276,0.901911,64.388,129.313,129.313,9.84303
35603,1,3,2.1176,1.99075,1.87595,0.0879136,0.98937,0.0464983,0.900935,64.6846,129.908,129.908,9.83329
35604,1,3,2.1176,1.99075,1.81831,0.0879136,0.98937,0.0486332,0.905784,64.8605,130.262,130.262,9.82355
35605,1,3,2.13355,1.99075,1.81831,0.111462,0.98937,0.0480665,0.904749,64.9218,130.186,130.186,9.81383
35606,1,3,2.12914,1.99075,1.81831,0.089418,0.98937,0.0483027,0.907194,65.2846,131.309,131.309,9.80412
35607,1,3,2.10497,1.99075,1.81831,0.0730916,0.98937,0.0490724,0.907074,64.9961,130.6,130.6,9.79441
35608,1,3,2.10497,1.99075,1.82183,0.0730916,0.98937,0.0489353,0.906047,64.7856,130.177,130.177,9.78472
35609,1,3,2.10497,1.9714,1.82183,0.0730916,0.982856,0.0495456,0.904119,64.1224,128.6,128.6,9.77503
35610,1,3,2.09073,1.93831,1.84653,0.105673,0.968188,0.0500317,0.899818,63.5405,126.096,24042.6,9.76536
35611,1,3,2.03601,1.93831,1.84749,0.107438,0.968188,0.0517516,0.900512,63.6254,125.129,23892.5,9.76536
35612,1,3,2.07629,1.93831,1.84749,0.0920906,0.968188,0.0505098,0.900931,63.6383,126.303,23889.9,9.76536
35613,1,3,2.09797,1.93831,1.84749,0.0904691,0.968188,0.049861,0.900037,63.4406,126.367,126.367,9.76536
35614,1,3,2.09797,1.93314,1.84749,0.0904691,0.942742,0.0501961,0.901868,63.6405,127.101,23889.7,9.75569
35615,1,3,2.09797,1.93831,1.86314,0.0904691,0.968188,0.0493092,0.898632,63.3803,126.247,282.505,9.75569
35616,1,3,2.09657,1.93831,1.84749,0.0830817,0.968188,0.0499399,0.901838,63.8066,127.228,127.228,9.75569
35617,1,3,2.09797,1.89209,1.84749,0.0904691,0.975368,0.051471,0.900184,63.3079,125.108,23891.6,9.75569
35618,1,3,2.09797,1.93729,1.84749,0.0904691,0.963999,0.0499222,0.902133,63.9303,127.396,127.396,9.75569
35619,1,3,2.13762,1.93729,1.84749,0.07487,0.963999,0.0488924,0.902986,64.0446,128.71,128.71,9.74603
35620,1,3,2.13762,1.93729,1.85526,0.07487,0.963999,0.0486123,0.903644,64.363,129.35,129.35,9.73639
35621,1,3,2.13762,1.91235,1.85526,0.07487,0.976812,0.0494212,0.903186,64.2398,128.393,128.393,9.72675
35622,1,3,2.10659,1.91235,1.85526,0.0927278,0.976812,0.0501802,0.902601,64.2405,127.432,23890,9.71712
35623,1,3,2.13762,1.9176,1.85526,0.07487,0.948435,0.0494075,0.904832,64.4218,129.355,129.355,9.71712
35624,1,3,2.13762,1.93972,1.85526,0.07487,0.956817,0.0485739,0.90267,64.0536,128.899,128.899,9.7075
35625,1,3,2.13762,1.93972,1.87492,0.07487,0.956817,0.0478786,0.901855,64.2236,129.241,129.241,9.69789
35626,1,3,2.13762,1.90953,1.87492,0.07487,0.916834,0.0491954,0.902433,63.8571,128.6,128.6,9.68829
35627,1,3,2.13762,1.90953,1.8481,0.07487,0.916834,0.0501494,0.904873,63.9667,128.821,23891.3,9.6787
