index,loop_n,restart,upper1,upper2,upper3,lower1,lower2,alpha,power,sample_size,max_ess,obj_func,temperature
33671,1,3,2.22246,1.96604,1.88509,0.10376,1.34992,0.0410487,0.90835,73.1407,140.327,140.327,23.4368
33672,1,3,2.22246,1.92653,1.88509,0.10376,1.34358,0.0425249,0.906851,72.3628,138.058,138.058,23.4136
33673,1,3,2.40613,1.92653,1.88509,-0.206596,1.34358,0.0402303,0.911215,71.789,145.133,145.133,23.3905
33674,1,3,2.40613,1.92653,1.8569,-0.206596,1.34358,0.0409218,0.91105,71.4054,144.357,144.357,23.3673
33675,1,3,2.41674,1.92653,1.8569,-0.319885,1.34358,0.0409477,0.914676,72.0876,147.299,147.299,23.3442
33676,1,3,2.40613,1.92653,1.8627,-0.206596,1.34358,0.040777,0.909926,71.1444,143.829,143.829,23.3442
33677,1,3,2.40613,1.92653,1.88035,-0.206596,1.34358,0.0403443,0.913537,72.4251,146.419,146.419,23.3211
33678,1,3,2.40613,1.92653,1.89952,-0.206596,1.34358,0.0398884,0.909901,71.5806,144.711,144.711,23.298
33679,1,3,2.40613,1.97776,1.89952,-0.206596,1.28432,0.0386406,0.911763,70.9195,146.113,146.113,23.2749
33680,1,3,2.06301,1.86789,1.77743,0.38968,1.21719,0.0511777,0.902005,71.2079,127.171,23892.8,23.2519
33681,1,3,2.06301,1.85895,1.82468,0.38968,1.32425,0.0491586,0.901654,73.5344,129.056,129.056,23.2519
33682,1,3,2.06301,1.85895,1.63896,0.38968,1.32425,0.0533988,0.901549,72.2413,126.787,23899.3,23.2289
33683,1,3,2.06301,1.91728,1.82468,0.38968,1.42918,0.0457782,0.891141,73.0481,127.335,295.141,23.2289
33684,1,3,2.06301,1.91246,1.82468,0.38968,1.44113,0.0457716,0.885761,71.8447,124.89,300.989,23.2289
33685,1,3,2.06301,1.87686,1.82468,0.38968,1.31093,0.0486541,0.902434,73.5657,129.768,129.768,23.2289
33686,1,3,2.06301,1.87183,1.82468,0.38968,1.25479,0.0494648,0.903193,72.6993,129.214,129.214,23.2059
33687,1,3,2.06301,1.93294,1.82468,0.38968,1.05921,0.0491617,0.913934,73.5246,135.5,135.5,23.1829
33688,1,3,1.93436,1.93294,1.82468,0.447442,1.05921,0.0534765,0.909946,73.4904,130.235,23902.9,23.16
33689,1,3,2.06301,1.93294,1.65211,0.38968,1.05921,0.0552708,0.917052,72.5329,133.672,23911.9,23.16
33690,1,3,2.31445,1.93294,1.82468,0.48906,1.05921,0.0423285,0.906482,74.2714,139.312,139.312,23.16
33691,1,3,2.31445,1.93294,1.86152,0.48906,1.05921,0.0412312,0.904629,74.1504,139.085,139.085,23.137
33692,1,3,2.28309,1.93294,1.86152,0.573591,1.05921,0.0408664,0.897681,74.617,136.519,294.243,23.1141
33693,1,3,2.19498,1.93294,1.86152,0.775103,1.05921,0.0400419,0.873082,74.9437,127.824,323.467,23.1141
33694,1,3,2.27826,1.93294,1.86152,0.360802,1.05921,0.0430035,0.911977,73.0333,140.167,140.167,23.1141
33695,1,3,2.27826,1.98139,1.86152,0.360802,1.14051,0.0408238,0.907928,72.9535,139.745,139.745,23.0913
33696,1,3,2.23234,1.98139,1.86152,0.447042,1.14051,0.0410585,0.895964,71.3568,133.318,293.689,23.0684
33697,1,3,2.25782,1.98139,1.86152,0.428429,1.14051,0.0406931,0.905165,73.6723,138.747,138.747,23.0684
33698,1,3,2.36542,1.98139,1.86152,0.275918,1.14051,0.0399625,0.913828,73.1756,144.096,144.096,23.0456
33699,1,3,2.19377,1.98139,1.86152,0.322413,1.14051,0.042864,0.910113,72.6786,138.513,138.513,23.0456
33700,1,3,2.19377,1.98139,1.8465,0.322413,1.14051,0.0433166,0.902978,70.3184,134.015,134.015,23.0228
33701,1,3,2.19377,1.98139,1.61304,0.322413,1.14051,0.0518557,0.913874,70.8999,135.123,23902.8,23
33702,1,3,2.19377,1.99597,1.8465,0.322413,1.3813,0.0403203,0.882548,69.2607,127.761,308.812,23
33703,1,3,2.31722,1.98139,1.8465,0.318082,1.14051,0.0409015,0.90538,71.1207,138.111,138.111,23
33704,1,3,2.31722,1.98139,1.83763,0.318082,1.14051,0.0411812,0.906875,71.4416,138.734,138.734,22.9772
33705,1,3,2.06301,1.98877,1.82468,0.38968,1.08451,0.0473785,0.907378,71.8846,133.202,133.202,22.9545
33706,1,3,2.06301,1.88668,1.82468,0.38968,1.08152,0.0505209,0.911316,72.7369,132.705,23896.3,22.9317
33707,1,3,2.06301,1.98681,1.82468,0.38968,0.881926,0.0486617,0.914105,72.2277,136.868,136.868,22.9317
33708,1,3,2.06462,1.98681,1.82468,0.584197,0.881926,0.0464894,0.892883,71.7407,129.138,294.258,22.909
33709,1,3,2.06301,1.98681,1.89219,0.38968,0.881926,0.046378,0.913685,73.2264,138.76,138.76,22.909
33710,1,3,2.15476,1.98681,1.82468,0.343175,0.881926,0.0464168,0.919886,73.1089,142.23,142.23,22.909
33711,1,3,2.16614,1.98681,1.82468,0.457034,0.881926,0.0450398,0.914141,74.4261,141.178,141.178,22.8864
33712,1,3,2.16614,1.99161,1.82468,0.457034,1.23056,0.0424606,0.905273,75.2,137.326,137.326,22.8637
33713,1,3,2.16614,1.83431,1.82468,0.457034,1.11095,0.0488074,0.91205,75.1768,135.789,135.789,22.8411
33714,1,3,2.16614,1.85107,1.82468,0.457034,1.08972,0.0482983,0.916428,76.5335,138.986,138.986,22.8185
33715,1,3,2.16614,1.95413,1.82468,0.457034,1.04655,0.0450607,0.914041,75.5946,140.314,140.314,22.7959
33716,1,3,2.16614,2.0924,1.82468,0.457034,0.889693,0.0425467,0.916946,75.7632,145.883,145.883,22.7733
33717,1,3,2.03218,1.95413,1.82468,0.49754,1.04655,0.0486066,0.911706,75.816,135.985,135.985,22.7733
33718,1,3,2.03218,2.02092,1.82468,0.49754,0.917673,0.0476332,0.912683,75.3335,138.275,138.275,22.7508
33719,1,3,2.03218,2.02092,1.76682,0.49754,0.917673,0.0496977,0.913488,74.8166,137.326,137.326,22.7282
33720,1,3,2.03218,2.02092,1.71933,0.49754,0.917673,0.0515483,0.918872,76.1869,139.841,23906.6,22.7057
33721,1,3,2.03218,2.01671,1.76682,0.49754,1.01207,0.0491759,0.917101,76.8934,139.73,139.73,22.7057
33722,1,3,2.03218,2.00439,1.76682,0.49754,1.01525,0.0494236,0.917713,77.1252,139.852,139.852,22.6833
33723,1,3,2.26285,2.00439,1.76682,0.361952,1.01525,0.044756,0.927661,76.9968,149.894,149.894,22.6608
33724,1,3,2.04497,2.00439,1.76682,0.674308,1.01525,0.0467105,0.893996,75.7514,131.117,294.521,22.6608
33725,1,3,2.03218,2.00439,1.95737,0.49754,1.01525,0.0437988,0.911217,77.3686,140.293,140.293,22.6608
33726,1,3,2.03218,1.97115,1.95737,0.49754,1.15152,0.0441562,0.905722,76.5913,136.052,136.052,22.6384
33727,1,3,2.08842,1.97115,1.95737,0.37531,1.15152,0.043119,0.919619,78.2851,144.554,144.554,22.616
33728,1,3,2.11303,1.97115,1.95737,0.287286,1.15152,0.042883,0.928407,79.6578,150.397,150.397,22.5936
33729,1,3,2.08247,1.97115,1.95737,0.278384,1.15152,0.0438746,0.920865,76.6383,144.189,144.189,22.5936
33730,1,3,2.06301,1.86073,1.82468,0.38968,1.39014,0.0482715,0.882197,69.5064,120.76,302.352,22.5712
33731,1,3,2.06301,1.9686,1.82468,0.38968,1.16353,0.047262,0.894081,68.9423,126.068,289.341,22.5712
33732,1,3,2.06301,1.86789,1.78699,0.38968,1.21719,0.050932,0.903968,71.8981,128.404,23893.3,22.5712
33733,1,3,2.06301,1.86789,1.77723,0.38968,1.21719,0.0511828,0.903391,71.6281,127.922,23893.6,22.5712
33734,1,3,2.06301,1.93006,1.82468,0.38968,1.219,0.0478678,0.901472,71.7757,129.461,129.461,22.5712
33735,1,3,2.06301,1.86789,1.47475,0.38968,1.21719,0.0607451,0.905281,70.0038,125.021,23920.1,22.5712
33736,1,3,2.06301,1.86789,1.76219,0.38968,1.21719,0.0515771,0.899637,70.3572,125.652,24047.2,22.5712
33737,1,3,2.06301,1.92827,1.82468,0.38968,1.23521,0.0477582,0.901199,71.96,129.458,129.458,22.5712
33738,1,3,2.0281,1.92827,1.82468,0.452925,1.23521,0.0484017,0.895806,71.7755,126.494,287.108,22.5489
33739,1,3,2.06301,1.99311,1.82468,0.38968,1.2275,0.0459853,0.903991,72.8864,132.627,132.627,22.5489
33740,1,3,2.06301,2.02732,1.82468,0.38968,1.23655,0.0450491,0.904342,73.2465,133.819,133.819,22.5266
33741,1,3,2.27022,2.02732,1.82468,0.527765,1.23655,0.0385546,0.890473,72.9926,134.221,303.057,22.5043
33742,1,3,2.06301,2.02732,1.70772,0.38968,1.23655,0.0485969,0.908101,73.2332,133.795,133.795,22.5043
33743,1,3,2.06301,2.02732,1.71669,0.38968,1.23655,0.0483049,0.905535,72.4992,132.454,132.454,22.482
33744,1,3,2.06301,1.99251,1.71669,0.38968,1.32941,0.0476276,0.894601,71.0936,127.452,289.923,22.4597
33745,1,3,2.14527,2.02732,1.71669,0.433911,1.23655,0.0454998,0.899283,71.8237,131.986,287.24,22.4597
33746,1,3,2.06301,1.96201,1.71669,0.38968,1.38913,0.047351,0.89583,72.8101,128.695,289.272,22.4597
33747,1,3,2.06301,2.02732,1.8219,0.38968,1.23655,0.0451267,0.907324,74.1484,135.467,135.467,22.4597
33748,1,3,2.06301,2.02732,1.71207,0.38968,1.23655,0.0484548,0.91289,74.8643,136.775,136.775,22.4375
