Unnamed: 0,index,upper1,upper2,upper3,lower1,lower2,alpha,power,sample_size,max_ess,obj_func,temperature,execute_time,seed
0,1001,4.375437756844555,1.131625620714057,-0.3572154933543319,-5.544864529586402,-1.824539268883888,0.6397106846513221,0.9994102697444648,50.13325794028007,142.2269862137904,56.05276477736284,100.0,0.8644003868103028,38074048935529243096846552582915742616
1,1002,5.355290503850183,2.111478367719685,-0.3572154933543319,-5.544864529586402,-1.824539268883888,0.6391863607571764,0.999425468198179,50.13325794028007,147.93538970135188,55.99497894542809,99.8,0.8644003868103028,38074048935529243096846552582915742616
2,1003,4.02034187220775,2.111478367719685,-0.3572154933543319,-5.544864529586402,-1.824539268883888,0.6391859848693883,0.9993811361381022,50.13325794028007,147.9319144106028,55.99352952682593,99.6,0.8644003868103028,38074048935529243096846552582915742616
3,1004,4.02034187220775,2.111478367719685,-0.3572154933543319,-5.544864529586402,-1.824539268883888,0.6391859848693883,0.9980552762928364,38.612317954022,113.93681313803664,55.73264373681957,99.4,0.8644003868103028,38074048935529243096846552582915742616
4,1005,4.02034187220775,2.111478367719685,-0.3572154933543319,-5.056020735079821,-1.3356954743773068,0.6356976874012732,0.997924658388498,38.612317954022,112.55589323564114,55.087982795645296,99.2,0.8644003868103028,38074048935529243096846552582915742616
5,1006,6.722814918697973,4.8139514142099085,2.345257553135892,-2.3535476885895976,1.366777572112917,0.0086220181701148,0.5511952325305335,38.612317954022,112.55942534309985,19.74865505233776,99.0,0.8644003868103028,38074048935529243096846552582915742616
6,1007,6.722814918697973,4.8139514142099085,2.345257553135892,-2.3535476885895976,1.366777572112917,0.0086220181701148,0.7179525108505656,53.76630497695769,156.7350390732929,6.389404075703341,98.8,0.8644003868103028,38074048935529243096846552582915742616
7,1008,8.039204213438099,6.130340708950035,2.345257553135892,-2.3535476885895976,1.366777572112917,0.00862150339311,0.7179396567416508,53.76630497695769,160.3690627022651,6.413706812678196,98.6,0.8644003868103028,38074048935529243096846552582915742616
8,1009,9.861945232609486,6.130340708950035,2.345257553135892,-2.3535476885895976,1.366777572112917,0.0086215033763766,0.7179396561769991,53.76630497695769,160.36906444181815,6.413706855869825,98.4,0.8644003868103028,38074048935529243096846552582915742616
9,1010,9.861945232609486,6.130340708950035,2.345257553135892,-4.785214944658001,-1.0648896839554869,0.0095069697410632,0.7415856570154549,53.76630497695769,161.28132404389382,5.167415134992735,98.2,0.8644003868103028,38074048935529243096846552582915742616
10,1011,8.855525691254186,5.123921167594736,1.3388380117805934,-5.791634486013299,-2.071309225310785,0.0903117044522441,0.950990628034146,53.76630497695769,161.2812713678524,1.6975595341870622,98.0,0.8644003868103028,38074048935529243096846552582915742616
11,1012,8.855525691254186,5.123921167594736,1.3388380117805934,-2.463758326999036,-2.071309225310785,0.0903103649823438,0.9509886310149794,53.76630497695769,161.26467488827836,1.6974038292841542,97.8,0.8644003868103028,38074048935529243096846552582915742616
12,1013,8.855525691254186,5.123921167594736,1.3388380117805934,-4.7514950253289845,-2.071309225310785,0.0903117044520596,0.9509906280339464,53.76630497695769,161.2812711550866,1.6975595328013728,97.6,0.8644003868103028,38074048935529243096846552582915742616
