Unnamed: 0,index,upper1,upper2,upper3,lower1,lower2,alpha,power,sample_size,max_ess,obj_func,execute_time,seed
0,1001,1.31474963159579,1.31474963159579,1.31474963159579,-2.68525036840421,1.31474963159579,0.144576574880429,0.8604590594102813,46.88104421994173,89.16826841026808,5.659698069106734,409.7972033023834,1511282172
1,1002,1.1823827348475846,1.1823827348475846,1.1823827348475846,1.1823827348475846,1.1823827348475846,0.1185269353222977,0.687518830899882,50.27311219433447,50.27311219433447,7.263307045326154,409.7972033023834,1511282172
2,1003,5.031633572881606,5.031633572881606,1.0316335728816066,-1.1201940832438615,-1.1201940832438615,0.149800465047603,0.7832407506959608,20.0,59.80268248941155,6.20887251482429,409.7972033023834,1511282172
3,1004,5.302213854517144,1.3022138545171444,1.3022138545171444,-1.363837556127758,0.736661267316455,0.1236340788413147,0.8915301869828581,41.28752344803128,91.06425908376194,4.610768291147306,409.7972033023834,1511282172
4,1005,5.30050477711964,1.30050477711964,1.30050477711964,-1.359896489017826,0.7429167208537314,0.1237197496159241,0.8911433714678368,41.29191404418904,90.94522197589554,4.615992260307073,409.7972033023834,1511282172
5,1006,1.2845030294753028,1.2845030294753028,1.2845030294753028,-1.5700522063468203,0.6294766753976696,0.176287239777608,0.9064203621718134,39.9559549554514,79.468040654898,5.169529127737096,409.7972033023834,1511282172
6,1007,5.404854022749258,1.404854022749258,1.404854022749258,-3.4774513546322243,0.5225486453677755,0.1104792541709402,0.8876639226138495,40.24826316656855,94.21527745521816,4.556742398613199,409.7972033023834,1511282172
7,1008,5.406169467014471,1.4061694670144709,1.4061694670144709,-3.4650885790501853,0.5349114209498144,0.110047570019218,0.8879822391072968,40.439060560077976,94.50070553556428,4.552990527890925,409.7972033023834,1511282172
8,1009,8.748185571137666,4.748185571137666,0.7481855711376667,0.7481855711376667,0.7481855711376667,0.0969506640848755,0.5565007754348645,20.0,53.67610423480877,9.868538275457116,409.7972033023834,1511282172
9,1010,6.416767500900166,2.416767500900165,1.3096491449129215,-0.8619655749358501,0.3722691240191342,0.0904042819197338,0.8784000469340636,38.70230676371257,102.80632674062464,4.713499189820396,409.7972033023834,1511282172
10,1011,5.370535221732229,1.370535221732229,1.370535221732229,-3.443635562975784,0.5563644370242161,0.1161039941740788,0.8817548993891505,38.692843761222015,89.61375090629372,4.60640323314981,409.7972033023834,1511282172
11,1012,6.36339456647066,2.36339456647066,1.279818479349688,-0.4472925872954654,-0.4472925872954654,0.0966093587080973,0.8451820908021226,33.33941053098692,88.95181447338054,4.979939089721084,409.7972033023834,1511282172
12,1013,6.230655403876886,2.2306554038768867,1.3014863358271491,-1.0869186487636349,0.5805920308594544,0.0886560894141739,0.8781924092813429,39.7738782449413,102.25012048563272,4.657126426480405,409.7972033023834,1511282172
13,1014,5.382688149961293,1.3826881499612926,1.3826881499612926,-3.440927603657331,0.5590723963426686,0.1138443623304483,0.8831246114390452,39.24015454980108,91.01729845085602,4.589417797173902,409.7972033023834,1511282172
14,1015,5.38811286876762,1.38811286876762,1.38811286876762,-3.439285451120133,0.5607145488798665,0.1128367858422166,0.8836611826084249,39.47808214966084,91.62386444891357,4.582654291513712,409.7972033023834,1511282172
15,1016,5.339900030825486,1.3399000308254867,1.3399000308254867,-2.08737048659471,0.7689627806265747,0.1160974931814837,0.8838842550914797,41.12198755755748,91.39089503266932,4.636214490469866,409.7972033023834,1511282172
16,1017,5.39523899824076,1.39523899824076,1.39523899824076,-3.4458581271691644,0.5541418728308356,0.1116766270354102,0.8843608885850689,39.71257578647656,92.36690154602684,4.5749868346218,409.7972033023834,1511282172
17,1018,6.230893078437274,2.230893078437274,1.3031498415643707,-1.0511746488718872,0.5548681753135409,0.0890211783706965,0.8789911338314315,39.70637600544544,102.27072742531706,4.647959029228523,409.7972033023834,1511282172
18,1019,5.412142584740771,1.4121425847407705,1.4121425847407705,-3.4295727084176906,0.5704272915823091,0.1084015842395564,0.8856012540058784,40.493196256874505,94.19184924874124,4.557820441509345,409.7972033023834,1511282172
19,1020,1.3232980150998046,1.3232980150998046,1.3232980150998046,-3.69481391676958,0.30518608323042,0.1722636438498057,0.8915330066607972,35.32188156950837,76.36131284084789,4.995227415305171,409.7972033023834,1511282172
20,1021,5.448806034598221,1.4488060345982212,1.4488060345982212,-3.326371180679553,0.6736288193204465,0.1003388904702489,0.8870632277531695,42.70372065155456,98.2889976339858,4.533728100869864,409.7972033023834,1511282172
21,1022,5.358550928539505,1.358550928539505,1.358550928539505,-2.2783098629017005,0.7429308227422505,0.1137320909470788,0.884797297079865,41.22586714321226,92.36707036029505,4.608569132277746,409.7972033023834,1511282172
22,1023,5.450615781102858,1.450615781102858,1.450615781102858,-3.3264653297127387,0.6735346702872613,0.1000461871757167,0.887213293605865,42.77323722160016,98.47913422554949,4.532497937850422,409.7972033023834,1511282172
23,1024,5.450408853752148,1.450408853752148,1.450408853752148,-3.3265644319200427,0.6734355680799574,0.1000817068057648,0.8871952100886057,42.76387621396417,98.45587720097495,4.5326364004932405,409.7972033023834,1511282172
24,1025,5.13829085093916,5.13829085093916,1.1382908509391596,-2.8617091490608404,-2.8617091490608404,0.1274991497373162,0.7540986062998191,20.0,59.99487262308013,6.395330441442232,409.7972033023834,1511282172
25,1026,4.992134851350441,4.992134851350441,0.9921348513504408,-7.007865148649559,-3.007865148649559,0.1605658626322207,0.797746298417718,20.0,59.998362736029925,6.121674795855693,409.7972033023834,1511282172
26,1027,5.443127122628987,1.443127122628987,1.443127122628987,-3.313646385877328,0.6863536141226719,0.1010162490395914,0.8863929513459464,42.59532567864928,97.74888264810116,4.539400052292843,409.7972033023834,1511282172
27,1028,5.386210483615491,1.3862104836154912,1.3862104836154912,-3.2789135202877704,0.72108647971223,0.1096554372850845,0.8795996709970703,40.581136827006645,91.73362073144132,4.610706358285668,409.7972033023834,1511282172
28,1029,5.465308346067434,1.4653083460674337,1.4653083460674337,-3.391354081348167,0.6086459186518333,0.0987577300900816,0.8897584231276904,42.93215633880052,100.0990332999922,4.519244486243908,409.7972033023834,1511282172
29,1030,5.465756838991339,1.4657568389913396,1.4657568389913396,-3.392052635012897,0.6079473649871033,0.0986948999203405,0.8897908435270048,42.94315675702439,100.14261686030076,4.519096229914927,409.7972033023834,1511282172
30,1031,5.4657026902663945,1.4657026902663943,1.4657026902663943,-3.391936840436521,0.6080631595634781,0.0987020007107593,0.8897802257823981,42.94091079026768,100.1347219421464,4.519138412808623,409.7972033023834,1511282172
31,1032,5.465299947456447,1.4652999474564463,1.4652999474564463,-3.390477418314335,0.6095225816856653,0.0987455097096716,0.8897316958991479,42.93527856085839,100.0922945895004,4.51928816607675,409.7972033023834,1511282172
32,1033,5.464937818802524,1.4649378188025244,1.4649378188025244,-3.3922509635197065,0.6077490364802931,0.098832486576008,0.8897065688414635,42.90488036148007,100.0436670566707,4.519563396501461,409.7972033023834,1511282172
33,1034,5.395072743328047,1.3950727433280472,1.3950727433280472,-2.417453303757568,0.6893406766748941,0.1089395800272979,0.8884025062932941,41.88202590908716,95.28154052642594,4.554274499426698,409.7972033023834,1511282172
34,1035,5.458752198974841,1.4587521989748404,1.4587521989748404,-3.322139432674077,0.6778605673259228,0.0986485211701591,0.8882089751416737,43.19863627637541,99.51938847347724,4.526175579575771,409.7972033023834,1511282172
35,1036,5.464416276888911,1.4644162768889109,1.4644162768889109,-3.483121606369884,0.5168783936301158,0.1001831753138883,0.8903680044485909,42.26688502899278,99.93204611423944,4.528447295377081,409.7972033023834,1511282172
36,1037,5.398542272506291,1.3985422725062913,1.3985422725062913,-2.46175437695345,0.6787205806817772,0.1085964676259684,0.888711825675376,41.87980822147391,95.50188031816027,4.549757307350047,409.7972033023834,1511282172
37,1038,5.453386941219321,1.4533869412193208,1.4533869412193208,-3.2888345532134804,0.71116544678652,0.0988637476121689,0.8869660186985043,43.240000570609226,98.99423787252287,4.535495282034,409.7972033023834,1511282172
38,1039,5.452269403741127,1.452269403741127,1.452269403741127,-3.2988549867131187,0.7011450132868811,0.099243730673679,0.8871960223681205,43.1324518455031,98.89067216295378,4.53388087583829,409.7972033023834,1511282172
39,1040,5.461994087894011,1.4619940878940103,1.4619940878940103,-3.517921497806169,0.4820785021938308,0.1010092422290302,0.8902955643703718,41.95084943781745,99.66734201161631,4.535939083290007,409.7972033023834,1511282172
40,1041,5.451797747181592,1.4517977471815922,1.4517977471815922,-3.3015957943197565,0.6984042056802436,0.099373922236129,0.8872278884085381,43.09395142724691,98.83883750593634,4.533659935865846,409.7972033023834,1511282172
41,1042,5.42193790804021,1.4219379080402097,1.4219379080402097,-3.295277161179879,0.7047228388201214,0.104099828661273,0.8842145479970407,41.94372813884601,95.63501553433758,4.560819215505665,409.7972033023834,1511282172
42,1043,5.356794221846696,1.3567942218466966,1.3567942218466966,-1.1775751270111705,0.6587326866487172,0.1161673389423301,0.8969571420973507,42.304664307637104,95.00760339489392,4.504424517071788,409.7972033023834,1511282172
43,1044,5.355014089594516,1.3550140895945162,1.3550140895945162,-1.230940509575799,0.6863100043488116,0.1158057447089516,0.8958907188911311,42.41978698528982,94.9518482729312,4.518086164629437,409.7972033023834,1511282172
