,index,upper1,upper2,upper3,lower1,lower2,alpha,power,sample_size,max_ess,obj_func,temperature,execute_time,seed,runs,obj_func_corrected
0,1001,7.15756370881622,6.48909037338132,2.663819121489441,-1.9106810479983585,1.2454086323306348,0.0037596928747155,0.983571374319887,46.585219322778016,139.34797163510686,2.310182830952512,100.0,542.6762237548828,112473157283792493938495147644475450323,Run_1,2.3104674425955847
1,1002,8.585767012577671,6.48909037338132,2.663819121489441,-1.9106810479983585,1.2454086323306348,0.0037596928055812,0.9835717013732452,46.585219322778016,139.348957855142,2.3101976562869773,99.8,542.6762237548828,112473157283792493938495147644475450323,Run_1,2.310054372332103
2,1003,8.585767012577671,6.48909037338132,2.663819121489441,-1.9106810479983585,1.2454086323306348,0.0037596927599546,0.9994307216961128,71.13216412513115,212.77494054416405,3.2339061012079817,99.6,542.6762237548828,112473157283792493938495147644475450323,Run_1,3.233909110516934
3,1004,6.233294469402502,4.13661783020615,2.663819121489441,-1.9106810479983585,1.2454086323306348,0.0037610446696644,0.999429640634925,71.13216412513115,202.843187918704,3.169424232858177,99.4,542.6762237548828,112473157283792493938495147644475450323,Run_1,3.1694544662056097
4,1005,7.914192912593006,5.817516273396654,2.663819121489441,-1.9106810479983585,1.2454086323306348,0.0037596928978318,0.9994330609987492,71.13216412513115,211.8082547550325,3.227706707191998,99.2,542.6762237548828,112473157283792493938495147644475450323,Run_1,3.2278237225444624
5,1006,7.914192912593006,5.817516273396654,2.663819121489441,-1.9106810479983585,1.2454086323306348,0.0037596939897822,0.9971680308995906,59.78490116065579,178.02446723865245,2.9399000529255783,99.0,542.6762237548828,112473157283792493938495147644475450323,Run_1,2.9398905671782893
6,1007,7.914192912593006,5.817516273396654,2.663819121489441,-1.9106810479983585,1.2454086323306348,0.0037596943502884,0.9337245102363246,35.12880874793889,104.60464134270303,1.1835104246408763,98.8,542.6762237548828,112473157283792493938495147644475450323,Run_1,1.1835020136423737
7,1008,8.259040785525556,5.817516273396654,2.663819121489441,-1.9106810479983585,1.2454086323306348,0.0037596922443154,0.9337211849773964,35.12880874793889,104.6033048926303,1.1834672130874764,98.6,542.6762237548828,112473157283792493938495147644475450323,Run_1,1.1835297566966254
8,1009,8.280862444826665,5.817516273396654,2.663819121489441,-1.9106810479983585,1.2454086323306348,0.003759693665862,0.9337304025600608,35.12880874793889,104.60483344478322,1.1835729497213,98.4,542.6762237548828,112473157283792493938495147644475450323,Run_1,1.1835394308485259
9,1010,8.280862444826665,5.817516273396654,2.663819121489441,-1.7159014736938565,1.440188206635137,0.0036541713312332,0.9302376568560808,35.12880874793889,104.38068914985216,1.1491842321617471,98.2,542.6762237548828,112473157283792493938495147644475450323,Run_1,1.1491477196871775
10,1011,8.280862444826665,5.817516273396654,2.663819121489441,-1.7159014736938565,1.440188206635137,0.0036541681533273,0.9998743746971754,82.67532948853054,245.65966865302823,3.4623728312060003,98.0,542.6762237548828,112473157283792493938495147644475450323,Run_1,3.462021251569028
11,1012,4.738879352823101,2.27553318139309,-0.8781639705141235,-5.25788456569742,-2.1017948853684274,0.8094629764097033,0.9999999999998986,82.67532948853054,245.66009602700643,92.045967709967,97.8,542.6762237548828,112473157283792493938495147644475450323,Run_1,92.04900431543592
12,1013,4.738879352823101,2.27553318139309,-0.8781639705141235,-5.25788456569742,-2.1017948853684274,0.8094620479592037,0.9999936119037908,23.567341496205724,70.02790129820328,90.90618882572088,97.6,542.6762237548828,112473157283792493938495147644475450323,Run_1,90.90617599384788
13,1014,4.361901228883118,2.27553318139309,-0.8781639705141235,-5.25788456569742,-2.1017948853684274,0.8094602427152787,0.9999926830075372,23.567341496205724,70.02767219879522,90.9057360225924,97.4,542.6762237548828,112473157283792493938495147644475450323,Run_1,90.9048864345563
14,1015,2.758833147691044,2.27553318139309,-0.8781639705141235,-5.25788456569742,-2.1017948853684274,0.8094655674008135,0.999991143638651,23.567341496205724,69.90817874604943,90.90616011636418,97.2,542.6762237548828,112473157283792493938495147644475450323,Run_1,90.90617927178954
