,index,upper1,upper2,upper3,lower1,lower2,alpha,power,sample_size,max_ess,obj_func,temperature,execute_time,seed
0,1001,2.2794741235615903,1.98753490238723,1.7714566924432598,0.0654064151871534,0.8550279444844764,0.048159463131150895,0.9999359015066718,91.27294119779249,191.1624395992609,2.7801518635992846,100.0,95.00642681121826,174414293456121420443512905421126887477
1,1002,2.4740040749918024,1.98753490238723,1.7714566924432598,0.0654064151871534,0.8550279444844764,0.04551542305196635,0.9999358929891206,91.27294119779249,195.0614615465085,2.808023381139016,99.8,95.00642681121826,174414293456121420443512905421126887477
2,1003,2.769034170511701,2.2825649979071287,2.0664867879631585,0.3604365107070522,1.1500580400043752,0.022556486329573112,0.9997948777773858,91.27294119779249,193.81854000405642,2.9086154500536345,99.6,95.00642681121826,174414293456121420443512905421126887477
3,1004,2.550428286776442,2.0639591141718694,1.8478809042278992,0.14183062697179283,0.9314521562691158,0.03826141376888392,0.9999126697656272,91.27294119779249,194.77125909342863,2.8235660906141207,99.4,95.00642681121826,174414293456121420443512905421126887477
4,1005,2.41686857052541,2.0639591141718694,1.8478809042278992,0.14183062697179283,0.9314521562691158,0.03966244926329716,0.9999126754751132,91.27294119779249,192.26076221218676,2.8025123709198834,99.2,95.00642681121826,174414293456121420443512905421126887477
5,1006,2.5828533475015667,2.229943891148026,1.8478809042278992,0.14183062697179283,0.9314521562691158,0.034579371885413615,0.9999126501896982,91.27294119779249,200.28714326442037,2.8747633733067834,99.0,95.00642681121826,174414293456121420443512905421126887477
6,1007,2.5828533475015667,2.229943891148026,1.8478809042278992,0.14183062697179283,0.9314521562691158,0.03457946566158571,0.9969909957431611,52.85513935117869,115.98379828165142,2.239188981332498,98.8,95.00642681121826,174414293456121420443512905421126887477
7,1008,2.6103440237653537,2.229943891148026,1.8478809042278992,0.14183062697179283,0.9314521562691158,0.03436175171989453,0.9969903045464876,52.85513935117869,116.2650508296347,2.2420352065202755,98.6,95.00642681121826,174414293456121420443512905421126887477
8,1009,2.6103440237653537,2.229943891148026,1.8478809042278992,0.52424913111355,1.313870660410873,0.028827613148636987,0.9913759242478605,52.85513935117869,104.50093597743657,2.034099324520763,98.4,95.00642681121826,174414293456121420443512905421126887477
9,1010,2.6103440237653537,2.229943891148026,1.8478809042278992,0.003043767671928155,0.7926652969692511,0.035696116505914366,0.9979308512227126,52.85513935117869,120.19854669550065,2.289654379018416,98.2,95.00642681121826,174414293456121420443512905421126887477
10,1011,2.6103440237653537,2.229943891148026,1.8478809042278992,-0.3123352030911666,0.7926652969692511,0.03661940714262241,0.9988639859278668,52.85513935117869,124.3812001972197,2.3411553547928246,98.0,95.00642681121826,174414293456121420443512905421126887477
11,1012,2.6103440237653537,2.229943891148026,1.8478809042278992,-0.3249678533719407,0.7926652969692511,0.036643908626221265,0.9988848016975742,52.85513935117869,124.51380718375727,2.342549147522112,97.8,95.00642681121826,174414293456121420443512905421126887477
12,1013,2.6103440237653537,2.229943891148026,1.8478809042278992,-0.22823612849121178,0.7926652969692511,0.03643710492719483,0.9987002587739622,52.85513935117869,123.43207089644324,2.3307690950105693,97.6,95.00642681121826,174414293456121420443512905421126887477
13,1014,2.6103440237653537,2.229943891148026,1.8478809042278992,-0.22823612849121178,0.7926652969692511,0.03643699003407112,0.9941281231838708,41.35171087521754,96.56817165048028,2.020593807925302,97.39999999999999,95.00642681121826,174414293456121420443512905421126887477
14,1015,2.6103440237653537,2.229943891148026,1.8478809042278992,-0.4073578234448574,0.7926652969692511,0.03678307289782333,0.9949159897816118,41.35171087521754,98.04713094751384,2.0517187013417786,97.2,95.00642681121826,174414293456121420443512905421126887477
15,1016,2.6103440237653537,2.229943891148026,1.8478809042278992,0.00605740791599807,0.7926652969692511,0.035683541771573644,0.9921683178305488,41.35171087521754,94.00063009620058,1.9508949953713244,97.0,95.00642681121826,174414293456121420443512905421126887477
