,index,upper1,upper2,upper3,lower1,lower2,best_n,f_min
0,1001,4.375437756844555,1.131625620714057,-0.3572154933543319,-5.544864529586402,-1.824539268883888,104.11741349907768,0.8139721668745215
1,1002,4.375437756844555,1.131625620714057,-0.3572154933543319,-5.544864529586402,-1.824539268883888,104.11741349907768,0.8139721668745215
2,1003,4.375437756844555,1.131625620714057,-0.3572154933543319,-5.544864529586402,-1.824539268883888,104.11741349907768,0.8139721668745215
3,1004,4.375437756844555,1.131625620714057,-0.3572154933543319,-5.544864529586402,-1.824539268883888,104.11741349907768,0.8139721668745215
4,1005,4.375437756844555,1.131625620714057,-0.3572154933543319,-5.544864529586402,-1.824539268883888,104.11741349907768,0.8139721668745215
5,1006,4.375437756844555,1.131625620714057,-0.3572154933543319,-5.544864529586402,-1.824539268883888,104.11741349907768,0.8139721668745215
6,1007,4.375437756844555,1.131625620714057,-0.3572154933543319,-5.544864529586402,-1.824539268883888,104.11741349907768,0.8139721668745215
7,1008,4.375437756844555,1.131625620714057,-0.3572154933543319,-5.544864529586402,-1.824539268883888,104.11741349907768,0.8139721668745215
8,1009,4.375437756844555,1.131625620714057,-0.3572154933543319,-5.544864529586402,-1.824539268883888,104.11741349907768,0.8139721668745215
9,1010,4.375437756844555,1.131625620714057,-0.3572154933543319,-5.544864529586402,-1.824539268883888,104.11741349907768,0.8139721668745215
10,1011,4.375437756844555,1.131625620714057,-0.3572154933543319,-5.544864529586402,-1.824539268883888,104.11741349907768,0.8139721668745215
11,1012,4.375437756844555,1.131625620714057,-0.3572154933543319,-5.544864529586402,-1.824539268883888,104.11741349907768,0.8139721668745215
12,1013,4.375437756844555,1.131625620714057,-0.3572154933543319,-5.544864529586402,-1.824539268883888,104.11741349907768,0.8139721668745215
13,1014,4.375437756844555,1.131625620714057,-0.3572154933543319,-5.544864529586402,-1.824539268883888,104.11741349907768,0.8139721668745215
14,1015,4.375437756844555,1.131625620714057,-0.3572154933543319,-5.544864529586402,-1.824539268883888,104.11741349907768,0.8139721668745215
15,1016,4.375437756844555,1.131625620714057,-0.3572154933543319,-5.544864529586402,-1.824539268883888,104.11741349907768,0.8139721668745215
16,1017,4.375437756844555,1.131625620714057,-0.3572154933543319,-5.544864529586402,-1.824539268883888,104.11741349907768,0.8139721668745215
17,1018,4.375437756844555,1.131625620714057,-0.3572154933543319,-5.544864529586402,-1.824539268883888,104.11741349907768,0.8139721668745215
18,1019,4.375437756844555,1.131625620714057,-0.3572154933543319,-5.544864529586402,-1.824539268883888,104.11741349907768,0.8139721668745215
19,1020,4.375437756844555,1.131625620714057,-0.3572154933543319,-5.544864529586402,-1.824539268883888,104.11741349907768,0.8139721668745215
20,1021,4.375437756844555,1.131625620714057,-0.3572154933543319,-5.544864529586402,-1.824539268883888,104.11741349907768,0.8139721668745215
21,1022,4.375437756844555,1.131625620714057,-0.3572154933543319,-5.544864529586402,-1.824539268883888,104.11741349907768,0.8139721668745215
22,1023,4.375437756844555,1.131625620714057,-0.3572154933543319,-5.544864529586402,-1.824539268883888,104.11741349907768,0.8139721668745215
23,1024,4.375437756844555,1.131625620714057,-0.3572154933543319,-5.544864529586402,-1.824539268883888,104.11741349907768,0.8139721668745215
24,1025,4.375437756844555,1.131625620714057,-0.3572154933543319,-5.544864529586402,-1.824539268883888,104.11741349907768,0.8139721668745215
25,1026,4.375437756844555,1.131625620714057,-0.3572154933543319,-5.544864529586402,-1.824539268883888,104.11741349907768,0.8139721668745215
26,1027,4.375437756844555,1.131625620714057,-0.3572154933543319,-5.544864529586402,-1.824539268883888,104.11741349907768,0.8139721668745215
27,1028,4.375437756844555,1.131625620714057,-0.3572154933543319,-5.544864529586402,-1.824539268883888,104.11741349907768,0.8139721668745215
28,1029,4.375437756844555,1.131625620714057,-0.3572154933543319,-5.544864529586402,-1.824539268883888,104.11741349907768,0.8139721668745215
29,1030,4.375437756844555,1.131625620714057,-0.3572154933543319,-5.544864529586402,-1.824539268883888,104.11741349907768,0.8139721668745215
30,1031,4.375437756844555,1.131625620714057,-0.3572154933543319,-5.544864529586402,-1.824539268883888,104.11741349907768,0.8139721668745215
