,index,upper1,upper2,upper3,lower1,lower2,alpha,power,sample_size,max_ess,obj_func,temperature,execute_time,seed
0,1001,2.7624437650973013,1.9691287423087998,1.068664832112607,-0.5256119549806595,-0.15721176773858825,0.13768400156344293,0.9998467666531747,57.619146058918496,145.88621183561025,3.668341906122219,100.0,864.4883208274841,90258087055953224030844501798693948203
1,1002,2.7624437650973013,1.9691287423087998,1.068664832112607,-0.37021225918126754,-0.15721176773858825,0.13490694735387856,0.9997309776396661,57.619146058918496,143.1439538939286,3.573107179673392,99.8,864.4883208274841,90258087055953224030844501798693948203
2,1003,2.8049371494201107,1.9691287423087998,1.068664832112607,-0.37021225918126754,-0.15721176773858825,0.13482525518309202,0.999730655794135,57.619146058918496,143.32416682673457,3.5721289632622293,99.6,864.4883208274841,90258087055953224030844501798693948203
3,1004,2.9044732392239183,2.0686648321126073,1.068664832112607,-0.37021225918126754,-0.15721176773858825,0.13388589136472281,0.9997295906447625,57.619146058918496,145.32243231080858,3.560629649555457,99.4,864.4883208274841,90258087055953224030844501798693948203
4,1005,2.9044732392239183,2.0686648321126073,1.068664832112607,-0.584176777104437,-0.37117628566175775,0.13829098726156008,0.9998755044307649,57.619146058918496,150.12956498730532,3.7132195642319688,99.2,864.4883208274841,90258087055953224030844501798693948203
5,1006,2.7273315732848475,1.8915231661735368,0.8915231661735368,-0.7613184430435074,-0.5483179516008281,0.18236010305536818,0.9999396215376488,57.619146058918496,150.76365862368982,3.7132195642319688,99.0,864.4883208274841,90258087055953224030844501798693948203
6,1007,2.9044732392239183,2.0686648321126073,1.068664832112607,-0.7510689517005515,-0.37117628566175775,0.1402374722155808,0.9999330235904713,57.619146058918496,152.51168391397755,3.784011822931756,98.8,864.4883208274841,90258087055953224030844501798693948203
7,1008,2.9044732392239183,2.0686648321126073,1.068664832112607,-0.7510689517005515,-0.37117628566175775,0.14023729245547054,0.9999324501430026,57.619146058918496,152.5105331681,3.7839816894476046,98.6,864.4883208274841,90258087055953224030844501798693948203
8,1009,2.9044732392239183,2.0686648321126073,1.068664832112607,-0.7510689517005515,-0.37117628566175775,0.1402403614444641,0.9999274032821215,57.05573318955854,151.0202548720901,3.7742438232263353,98.4,864.4883208274841,90258087055953224030844501798693948203
9,1010,2.9044732392239183,2.0686648321126073,1.068664832112607,-0.6125715048939717,-0.23267883885517793,0.1382444193741589,0.999881317202555,57.05573318955854,148.2779315727812,3.700119358603801,98.2,864.4883208274841,90258087055953224030844501798693948203
10,1011,2.9044732392239183,2.0686648321126073,1.068664832112607,-0.7767373552679377,-0.23267883885517793,0.13999857496641646,0.9999329417167259,57.05573318955854,150.35882256848856,3.763405874407915,98.0,864.4883208274841,90258087055953224030844501798693948203
11,1012,2.9044732392239183,2.0686648321126073,1.068664832112607,-0.7767373552679377,-0.23267883885517793,0.13999712246120383,0.9999381117262787,57.613569088744605,151.829444599487,3.773065108339522,97.8,864.4883208274841,90258087055953224030844501798693948203
12,1013,2.9044732392239183,2.0686648321126073,1.068664832112607,-0.6772769930698732,-0.1332184766571134,0.1384788401273056,0.9999110954192768,57.613569088744605,149.85809068193868,3.717673335810184,97.6,864.4883208274841,90258087055953224030844501798693948203
