upper1,upper2,upper3,lower1,lower2,n,output
1.992175576677866,1.992175576677866,1.992175576677866,-1.992175576677866,-1.992175576677866,19.96269759925371,1.0
2.961172422811868,2.0938651004328706,1.7096336954273283,-2.961172422811868,-2.0938651004328706,17.554707870353013,1.0
2.119577478632703,1.8734595104893361,1.8356079417852893,6.285533994301575e-16,1.1240757062936024,21.321147204426552,1.0
2.9937499166432926,1.4793005344626455,-0.15294740405298993,0.7340583285435843,3.0,11.1554116671726,0.0
2.9677085510284864,1.0982593155980187,1.0299222516033302,-2.632705486156719,3.0,12.38529966451889,0.0
2.2977275774031436,2.792250881633368,-2.1295066231307476,2.9521374966194047,-3.0,29.2027989508594,0.0
2.708191621608058,1.2536915309593164,-0.557185855524404,2.878358071097677,-3.0,29.596390243155135,0.0
2.9395967594000796,2.8633268155884943,-2.3237192118495957,2.138526087564054,3.0,14.656603537987234,0.0
2.529869113333924,2.585105640721266,-1.1073234837754928,2.85051681689046,3.0,11.184260761979996,0.0
2.653088630095173,2.5082168902832715,0.5621202163752971,1.9009672479076216,-1.6769185178916022,29.593469807274733,0.0
2.813943799914775,1.186655990703693,1.6501678974059937,-2.8286633460828967,3.0,10.885797108679373,0.0
-3.0,3.0,1.082118880154203,3.0,0.9095834288116226,30.0,0.0
3.0,-3.0,1.5491758862634908,-3.0,1.4251866374818538,10.0,0.0
-3.0,3.0,0.4828668187571002,3.0,3.0,30.0,0.0
-3.0,3.0,2.0034561658877807,3.0,3.0,30.0,0.0
-3.0,3.0,-1.2286267638286281,3.0,-3.0,30.0,0.0
-2.652747799245531,3.0,-3.0,3.0,-3.0,29.029250703960663,0.0
-3.0,3.0,0.9649094270016217,3.0,-1.3456205516854738,30.0,0.0
3.0,3.0,-0.4752976788421938,3.0,0.35374122753940934,30.0,0.0
3.0,3.0,0.6279259040394808,3.0,1.2201544624952807,30.0,0.0
-3.0,3.0,1.7876424554435757,3.0,2.0104762639331537,30.0,0.0
3.0,3.0,0.026120416322252538,-3.0,-0.9355720772109457,10.0,1.0
3.0,-3.0,3.0,-3.0,-3.0,30.0,0.0
3.0,-3.0,2.7236824223527156,-3.0,-3.0,30.0,0.0
3.0,-3.0,2.480904646676047,-3.0,-3.0,30.0,0.0
3.0,-3.0,2.881415951307143,-3.0,-3.0,30.0,0.0
3.0,-3.0,2.3128010569852027,-3.0,-3.0,30.0,0.0
3.0,3.0,-2.4961400510808005,3.0,-3.0,30.0,0.0
3.0,3.0,-2.318845177878442,3.0,-3.0,30.0,0.0
-3.0,3.0,-3.0,-3.0,-3.0,10.0,0.0
3.0,-3.0,2.5969715431438583,-3.0,-3.0,30.0,0.0
3.0,-3.0,2.2045985285851413,-3.0,-3.0,30.0,0.0
3.0,3.0,2.9720185880018266,-3.0,-3.0,30.0,1.0
3.0,3.0,-3.0,3.0,3.0,10.0,0.0
3.0,3.0,2.5051483977037248,-3.0,-3.0,30.0,1.0
-3.0,3.0,-3.0,3.0,2.9999999999999996,10.0,0.0
3.0,3.0,1.8174987628848371,-3.0,-3.0,30.0,1.0
3.0,3.0,1.3775458555466005,-3.0,-3.0,30.0,1.0
3.0,3.0,1.931527426522188,-3.0,-3.0,30.0,1.0
3.0,-3.0,2.2536124003522753,-3.0,-3.0,10.0,0.0
3.0,-3.0,1.4814257624445069,-3.0,-3.0,10.0,0.0
3.0,3.0,1.238741333999876,-3.0,-3.0,30.0,1.0
3.0,3.0,2.5572426935911325,-3.0,-3.0,13.124873995557893,1.0
2.7725542104217715,-2.8532277469096714,0.25391404594014105,-2.65422818047414,-2.729827313146954,19.29454175000344,0.0
3.0,-3.0,2.223508847799919,-3.0,-3.0,10.0,0.0
