upper1,upper2,upper3,lower1,lower2,n,penalty
1.992175576677866,1.992175576677866,1.992175576677866,-1.992175576677866,-1.992175576677866,19.96269759925371,0.37249041408260436
2.961172422811868,2.0938651004328706,1.7096336954273283,-2.961172422811868,-2.0938651004328706,17.554707870353013,0.3370291239567938
2.119577478632703,1.8734595104893361,1.8356079417852893,6.285533994301575e-16,1.1240757062936024,21.321147204426552,0.27147278367818983
3.0,3.0,0.026120416322252538,-3.0,-0.9355720772109457,10.0,30.383197875429612
3.0,3.0,2.9720185880018266,-3.0,-3.0,30.0,1.6429149514770498
3.0,3.0,2.5051483977037248,-3.0,-3.0,30.0,0.903859948782111
3.0,3.0,1.8174987628848371,-3.0,-3.0,30.0,1.6075942921762376
3.0,3.0,1.3775458555466005,-3.0,-3.0,30.0,2.1206412268820785
3.0,3.0,1.931527426522188,-3.0,-3.0,30.0,1.506643897228134
3.0,3.0,1.238741333999876,-3.0,-3.0,30.0,2.515735374003537
3.0,3.0,2.5572426935911325,-3.0,-3.0,13.124873995557893,23.632665345952113
2.3914712949878183,1.9941598398006117,1.3294002450118667,-0.42809574079653245,0.1772027645851382,28.84521120074562,1.972598545163525
3.0,3.0,1.75454749739222,-3.0,-3.0,10.0,7.2654367473282955
3.0,3.0,2.6834028844896056,-3.0,-3.0,30.0,0.9109364686271268
3.0,3.0,2.487632889169307,-3.0,-3.0,30.0,0.9143457527280979
3.0,3.0,2.4158442834835334,-3.0,-3.0,10.0,33.51633237269178
3.0,3.0,1.972777407551386,-3.0,-3.0,10.0,13.60685841815719
2.4206519620706994,1.9746446306572676,1.9216275832047554,-2.2440212536834347,0.09873462440227951,21.181908574335505,0.4280483407700356
3.0,3.0,1.9952477790951595,-1.2458738173422654,-0.25938162313218843,17.43420720050157,1.142886531430086
3.0,3.0,2.6982131533332794,-3.0,1.8876668829917864,30.0,1.1561269735028938
3.0,3.0,2.732770041265198,-3.0,-1.575008116472801,30.0,0.9566847689883275
3.0,3.0,2.6713761101253977,-3.0,-3.0,30.0,0.902405551909011
3.0,3.0,2.627551800022489,-3.0,1.3540863573871138,30.0,0.7991727873801941
3.0,3.0,2.656038606332853,-3.0,-3.0,30.0,0.8935008690620674
3.0,3.0,1.674955915961627,-3.0,-3.0,30.0,1.725764577133055
3.0,3.0,2.637908332423383,-3.0,1.0295598925123002,30.0,0.8130450567203766
3.0,3.0,1.6691441992722482,-3.0,-1.9573240914624876,23.919033663578368,1.081508578728001
3.0,3.0,1.6979333752699415,-3.0,-3.0,10.0,6.017266812961079
3.0,3.0,1.7164907986675735,-3.0,-3.0,10.0,6.408979613797818
3.0,3.0,1.7663661401037813,-3.0,-3.0,10.0,7.546047238609546
3.0,3.0,2.4757953324009065,-3.0,-3.0,30.0,0.9221956969279799
2.844942088410867,1.5119297372785927,0.05682827181197381,-2.793248389935293,-0.0538011867080038,28.021474137708896,20.905683965448446
3.0,3.0,1.8296535370932387,-3.0,1.5965773147420284,10.0,21.480514986970586
3.0,3.0,1.7309696534357222,-3.0,-3.0,10.0,6.726209587585868
2.6843087662264082,2.1165035312626217,0.014016800522368488,-2.422958787730958,-1.1312819464504784,11.522502714853601,31.602453532620128
3.0,3.0,1.8381285142925434,-3.0,-1.0436309625755265,30.0,1.5800665734917683
3.0,3.0,1.8489413289804038,-3.0,-2.3599258906994303,30.0,1.579795387402156
3.0,3.0,1.8569325310792253,-3.0,-3.0,30.0,1.573989742224892
3.0,3.0,1.8685540411682078,-3.0,-3.0,30.0,1.5638409692595183
2.6523535735653168,2.102959107102353,1.8749563647367093,-2.587181091593489,-1.4670022548048134,28.39234254639396,1.3839074266037255
3.0,3.0,1.8435708291153972,-3.0,-3.0,30.0,1.585357795674196
3.0,3.0,2.9760423017915723,-3.0,-1.6143667563167046,20.081385752558944,14.221941941774016
3.0,3.0,1.7214361507354916,-3.0,-3.0,10.0,6.51644897280014
3.0,3.0,2.9876495673304886,-3.0,0.02366572877950842,23.873178028181318,6.714772941959048
3.0,3.0,2.6351598923045843,-3.0,-1.7691978310818968,11.246050716951725,37.49219221966723
2.984081901202748,2.712559510304983,1.3308404109552343,-1.9380385017854622,0.18923835137696063,27.73257450554706,2.0136979701679003
2.7341537520776042,1.9393702139258122,1.8579964443661605,-2.7076746552003796,-2.025646888751172,27.654324083983838,1.343588584272072
3.0,3.0,1.9905657140486643,-3.0,-2.721775423076314,16.799273694689422,1.4323648831757263
3.0,2.864654450029362,1.9892454324129747,-2.004319536050845,-1.1610129100925302,30.0,1.4398599513139332
3.0,3.0,2.6667623066115285,-2.76858651941466,-0.3812920599316754,11.644205539128116,36.74606876972019
3.0,3.0,2.501970477387068,-3.0,-1.8304270527497528,30.0,0.9025696374524466
2.8997820699994423,2.885704479745494,1.8730256651204749,0.0737543813461853,1.4927808317114182,24.358814845835774,0.5111937861324073
2.3625252009899644,1.99510472326537,1.9859571394282014,-1.6777272957699245,-1.1373097682469646,26.716313031219308,1.0537340586794288
3.0,3.0,2.6251947838086824,1.6848040900276136,1.9601769877879451,17.912761773990802,36.41749250866508
2.6451919595292814,2.5535948713394157,1.8740182841859196,-2.2383878759599805,1.8118101484619606,13.17863699702726,15.453806255172761
