upper1,upper2,upper3,lower1,lower2,n,penalty
1.9921863079071045,1.9921863079071045,1.9921863079071045,-1.9921863079071045,-1.9921863079071045,19.96292436911861,0.37249415805484826
2.96112461008876,2.093831291732134,1.7096060907387711,-2.96112461008876,-2.093831291732134,17.55402847116223,0.33701337945545107
2.119577478632703,1.8734595104893361,1.8356079417852893,6.285533994301575e-16,1.1240757062936024,21.321183598389325,0.2714733026702164
2.918371031107645,2.405876436160449,1.5500891899178129,-2.069538429713475,1.42720916404878,10.210737292963701,12.118466746432379
3.0,3.0,1.9456618223829039,-3.0,-0.8021486781958918,30.0,1.4801334984061443
3.0,3.0,1.7451481197946321,-3.0,-3.0,30.0,1.6670273157637148
3.0,3.0,1.4505299531384528,-3.0,-3.0,10.0,2.344602338878476
3.0,3.0,1.6560424904595024,-3.0,-3.0,10.0,5.196693147998649
3.0,3.0,1.8547549741489242,-3.0,-3.0,10.0,9.871071057065292
2.7160143399265464,2.609211078751747,1.738563304332072,-2.5987368491872225,0.6216321230836039,12.243395815090581,3.1305091861086214
3.0,3.0,1.8226855212436428,-3.0,-3.0,10.0,8.981013719543062
2.5686590685656028,2.2330827236136623,1.7123656466048465,-2.3397887719691837,-0.6508719884557485,27.434690775619373,1.4358213718751138
3.0,3.0,1.7039882780516569,-3.0,-3.0,25.030705846316355,1.178142323249355
2.9599509130235826,1.8766984062409813,1.6947285760749307,-2.7522980440121456,0.44846632310971074,20.583303870945745,0.567397844913223
2.0004548835560017,1.732495123640038,1.6820621776910682,-2.934123117936378,0.6098919648688581,17.793437364996436,0.37926902670793383
3.0,3.0,1.9970085216153315,-3.0,-3.0,11.02749125556471,10.778884968406448
2.661017479607798,2.528502178231894,1.8328920361682588,-2.340260141648815,1.135151886690917,22.387509673583185,0.4284853745894011
3.0,3.0,1.6853410584444102,-3.0,-3.0,10.0,5.761933449100056
