upper1,upper2,upper3,lower1,lower2,n,output
1.9921863079071045,1.9921863079071045,1.9921863079071045,-1.9921863079071045,-1.9921863079071045,19.96292436911861,1.0
2.96112461008876,2.093831291732134,1.7096060907387711,-2.96112461008876,-2.093831291732134,17.55402847116223,1.0
2.119577478632703,1.8734595104893361,1.8356079417852893,6.285533994301575e-16,1.1240757062936024,21.321183598389325,1.0
2.9801141109678326,1.7079880114031265,-0.15255875758694182,1.4232756123974672,3.0,13.382994815901299,0.0
2.8903029067067196,2.15664822458037,1.0300392357050503,-1.7539623414129888,3.0,11.821721327260102,0.0
2.550481372177328,-1.230923477425448,-2.1283935432181,2.7541307158677437,-3.0,28.77558855125445,0.0
2.9323039243261046,-0.35321605104978177,-0.5565406551331556,2.009076251605074,-3.0,29.91053846416303,0.0
2.6244459561545908,2.553602043267136,-2.3221850873341037,2.767875929267071,3.0,24.4160340128425,0.0
2.914846783948824,-1.0390816326182457,-1.1064169510061863,2.635824534374357,3.0,27.521735086846235,0.0
2.610986204703829,2.4126064870484534,0.5625578748314408,2.974857719083803,-1.6779825338521663,26.816224163737008,0.0
2.915657018377065,-2.507398288240431,1.6501046384795666,-2.729247385626386,3.0,10.127065300223794,0.0
-0.5090248019466853,2.632680235905795,1.0822454770129322,2.3502235008583265,0.9093223665714091,29.179786028810568,0.0
2.918371031107645,2.405876436160449,1.5500891899178129,-2.069538429713475,1.42720916404878,10.210737292963701,1.0
-2.3889015818610684,-2.8442307519483294,1.770348348149844,2.8611048957092224,-3.0,29.88258326766161,0.0
2.8385938220273497,1.8783576093357075,1.912602568367102,-2.854954957513383,3.0,15.5652748048737,0.0
1.7427350981176553,2.924199895884356,2.0767081777522742,0.5262252067994835,-3.0,29.28067544772531,0.0
-2.355842590136798,-2.3597760961269607,2.033391816751683,0.38510203547472055,-3.0,12.912858925717837,0.0
2.927914748313715,2.888379407727426,2.1599477319599627,1.4554196508910289,-1.790186491807016,27.685191226462482,0.0
2.7167814935483037,2.515781967478765,1.9486816625747996,-0.4474990321862465,-3.0,29.171250455332785,0.0
2.3702074341593913,2.814966722888826,2.005909680004796,-2.696394550117953,3.0,25.5375120405563,0.0
2.9792444849083553,2.499816678508177,1.7990113370625882,2.817217982681381,3.0,12.376730761178372,0.0
2.996723878030184,2.357923578867336,1.8718353519329027,1.1704471009411053,3.0,10.767167761592265,0.0
