,index,upper1,upper2,upper3,lower1,lower2,alpha,power,sample_size,max_ess,obj_func,execute_time,seed
0,1001,4.605744753493927,0.6057447534939274,0.6057447534939274,0.6057447534939274,0.6057447534939274,0.16932401894665564,0.6288088039509727,20.0,39.088524406508,0.7824002952171523,535.4941153526306,1511282172
1,1002,1.0227760813078584,1.0227760813078584,1.0227760813078584,-2.9772239186921414,1.0227760813078584,0.2252292768726692,0.7345133532162876,20.0,36.9053826054177,0.5636378022191538,535.4941153526306,1511282172
2,1003,0.8464586258635525,0.8464586258635525,0.8464586258635525,-7.153541374136448,-3.1535413741364478,0.3364093738236605,0.8883339312192096,20.0,50.31429434909978,1.265850377519563,535.4941153526306,1511282172
3,1004,0.9160296263960043,0.9160296263960043,0.9160296263960043,0.9160296263960043,0.9160296263960043,0.1798256781098233,0.5549046574484753,20.0,20.0,0.22191521064921596,535.4941153526306,1511282172
4,1005,0.9561542701569514,0.9561542701569514,0.9561542701569514,0.9561542701569514,0.9561542701569514,0.16949714985741782,0.5390093497622491,20.0,20.0,0.30527456364135486,535.4941153526306,1511282172
5,1006,8.666481803156037,4.666481803156036,0.6664818031560362,0.6664818031560362,0.6664818031560362,0.1130520946150944,0.5903379113677164,20.0,53.20823819284119,1.5071261401305494,535.4941153526306,1511282172
6,1007,0.7502258824393602,0.7502258824393602,0.7502258824393602,0.7502258824393602,0.7502258824393602,0.2265593364812002,0.6193852647071699,20.0,20.0,-0.004512344926864698,535.4941153526306,1511282172
7,1008,0.6250020487584538,0.6250020487584538,0.6250020487584538,0.6250020487584538,0.6250020487584538,0.26598485672657246,0.666071318922232,20.0,20.0,-0.07267211015483813,535.4941153526306,1511282172
8,1009,0.518749056121776,0.518749056121776,0.518749056121776,0.518749056121776,0.518749056121776,0.3019678738283753,0.703793823231236,20.0,20.0,-0.07324211251144436,535.4941153526306,1511282172
9,1010,0.469668165139687,0.469668165139687,0.469668165139687,0.469668165139687,0.469668165139687,0.3192960578406334,0.720532588754542,20.0,20.0,-0.05662990988248076,535.4941153526306,1511282172
10,1011,0.4735555888582091,0.4735555888582091,0.4735555888582091,0.4735555888582091,0.4735555888582091,0.3179084257660736,0.7192237165725197,20.0,20.0,-0.05833845503167914,535.4941153526306,1511282172
11,1012,0.48007183489106475,0.48007183489106475,0.48007183489106475,0.48007183489106475,0.48007183489106475,0.31558815731609724,0.7170231094104952,20.0,20.0,-0.061049669895915065,535.4941153526306,1511282172
12,1013,4.586433229892399,4.586433229892399,0.5864332298923988,-7.413566770107601,-3.413566770107601,0.27879213239937184,0.8923755009035996,20.0,59.99816597506482,1.5889416521977202,535.4941153526306,1511282172
13,1014,0.4856666764442463,0.4856666764442463,0.4856666764442463,0.4856666764442463,0.4856666764442463,0.3136017569696754,0.7151270882162247,20.0,20.0,-0.06322542303990242,535.4941153526306,1511282172
14,1015,0.49494803837850115,0.49494803837850115,0.49494803837850115,0.49494803837850115,0.49494803837850115,0.3103183999382729,0.7119684517358057,20.0,20.0,-0.066526234373603,535.4941153526306,1511282172
15,1016,0.33300435994412914,0.33300435994412914,0.33300435994412914,-3.666995640055871,0.33300435994412914,0.4874778452955498,0.9113917555192478,20.0,32.60554236172632,1.2300906592597531,535.4941153526306,1511282172
16,1017,0.5713001315158284,0.5713001315158284,0.5713001315158284,0.5713001315158284,0.5713001315158284,0.2838981062950148,0.6853784339475867,20.0,20.0,-0.07922138442131177,535.4941153526306,1511282172
17,1018,0.6460097664810728,0.6460097664810728,0.6460097664810728,0.008301363570108578,0.008301363570108578,0.346197333379887,0.8210821875800713,20.0,26.69416445340191,0.2638409932193797,535.4941153526306,1511282172
18,1019,0.5759727767279066,0.5759727767279066,0.5759727767279066,0.5759727767279066,0.5759727767279066,0.28231679125676035,0.6837175215752153,20.0,20.0,-0.07916329515824119,535.4941153526306,1511282172
19,1020,0.5758261072120616,0.5758261072120616,0.5758261072120616,0.5758261072120616,0.5758261072120616,0.2823663626167222,0.683769712519801,20.0,20.0,-0.07916658894308826,535.4941153526306,1511282172
20,1021,1.1091275429604628,1.1091275429604628,1.1091275429604628,-2.890872457039537,-2.890872457039537,0.2408140830086377,0.825675502281457,20.0,53.233035588412946,1.2610054809243723,535.4941153526306,1511282172
21,1022,1.1634561538614498,1.1634561538614498,1.1634561538614498,-4.282904383526295,-0.282904383526295,0.22245747157620951,0.8089416730342642,20.0,46.171688213780456,0.9443241197428909,535.4941153526306,1511282172
22,1023,0.5736668781960707,0.5736668781960707,0.5736668781960707,0.5736668781960707,0.5736668781960707,0.2830966229351686,0.6845376293967437,20.0,20.0,-0.07920404705986092,535.4941153526306,1511282172
23,1024,0.573456213281532,0.573456213281532,0.573456213281532,0.573456213281532,0.573456213281532,0.2831679191922407,0.6846125085279107,20.0,20.0,-0.07920659579441924,535.4941153526306,1511282172
24,1025,0.5732117330895676,0.5732117330895676,0.5732117330895676,0.5732117330895676,0.5732117330895676,0.2832506705013258,0.684699397519904,20.0,20.0,-0.07920930724912875,535.4941153526306,1511282172
25,1026,0.5729253651581506,0.5729253651581506,0.5729253651581506,0.5729253651581506,0.5729253651581506,0.283347614661168,0.684801160549929,20.0,20.0,-0.07921214668404358,535.4941153526306,1511282172
26,1027,0.40115240900942245,0.40115240900942245,0.40115240900942245,0.40115240900942245,0.40115240900942245,0.3441539584569411,0.7431025664005464,20.0,20.0,-0.015081295649548382,535.4941153526306,1511282172
27,1028,5.061095953967251,5.061095953967251,1.0610959539672509,-2.938904046032749,-2.938904046032749,0.14432280083054455,0.7777564821179969,20.0,59.995109230735046,1.5302771864431803,535.4941153526306,1511282172
28,1029,0.5830924561483047,0.5830924561483047,0.5830924561483047,0.5830924561483047,0.5830924561483047,0.2799155309279916,0.6811796672690148,20.0,20.0,-0.07888863068156515,535.4941153526306,1511282172
29,1030,1.113184860439949,1.113184860439949,1.113184860439949,-0.22497663865062711,-0.22497663865062711,0.2251568370963999,0.785320007722868,20.0,36.02342710484493,0.5076642081830214,535.4941153526306,1511282172
30,1031,0.5884017294058376,0.5884017294058376,0.5884017294058376,0.5884017294058376,0.5884017294058376,0.27813133861018946,0.6792815893025462,20.0,20.0,-0.0785371315768568,535.4941153526306,1511282172
31,1032,0.5877557779058726,0.5877557779058726,0.5877557779058726,0.5877557779058726,0.5877557779058726,0.2783481152618953,0.6795127704163877,20.0,20.0,-0.07858660482864202,535.4941153526306,1511282172
32,1033,4.8364173854747285,4.8364173854747285,0.8364173854747285,-3.1635826145252715,0.8364173854747285,0.13319317083765983,0.7118916092731172,20.0,59.02491094173633,1.5186875725414148,535.4941153526306,1511282172
33,1034,0.5881830257170207,0.5881830257170207,0.5881830257170207,0.5881830257170207,0.5881830257170207,0.27820472476558955,0.6793598694759652,20.0,20.0,-0.07855409030226329,535.4941153526306,1511282172
34,1035,0.5874371361164488,0.5874371361164488,0.5874371361164488,0.5874371361164488,0.5874371361164488,0.2784550794641967,0.6796267842415269,20.0,20.0,-0.07861032453694364,535.4941153526306,1511282172
35,1036,0.5866252118025451,0.5866252118025451,0.5866252118025451,0.5866252118025451,0.5866252118025451,0.27872772315355654,0.6799172237742294,20.0,20.0,-0.07866871914254253,535.4941153526306,1511282172
36,1037,4.949797306571362,4.949797306571362,0.9497973065713624,-4.832188289648682,-0.8321882896486826,0.17098866857792272,0.8092892526929716,20.0,59.914938341295866,1.5253662853528809,535.4941153526306,1511282172
37,1038,0.41383865103272716,0.41383865103272716,0.41383865103272716,0.41383865103272716,0.41383865103272716,0.3394961377840332,0.73899622767576,20.0,20.0,-0.024440541567554708,535.4941153526306,1511282172
38,1039,0.5902889373710872,0.5902889373710872,0.5902889373710872,0.5902889373710872,0.5902889373710872,0.2774984773893663,0.678605773802439,20.0,20.0,-0.0783819314366116,535.4941153526306,1511282172
39,1040,0.5895092637265918,0.5895092637265918,0.5895092637265918,0.5895092637265918,0.5895092637265918,0.27775984983986224,0.6788850493984886,20.0,20.0,-0.07844797620784838,535.4941153526306,1511282172
40,1041,0.5886855079531227,0.5886855079531227,0.5886855079531227,0.5886855079531227,0.5886855079531227,0.2780361306227488,0.6791800051311392,20.0,20.0,-0.07851480893851878,535.4941153526306,1511282172
41,1042,1.384891893873198,1.384891893873198,1.384891893873198,-2.615108106126802,1.384891893873198,0.1285531812832988,0.598042080504174,20.0,38.24860733856754,0.8303841437625673,535.4941153526306,1511282172
42,1043,0.5794309986309001,0.5794309986309001,0.5794309986309001,0.5794309986309001,0.5794309986309001,0.28114919639957003,0.6824858877458604,20.0,20.0,-0.07905798949362439,535.4941153526306,1511282172
43,1044,0.5785408066037493,0.5785408066037493,0.5785408066037493,0.5785408066037493,0.5785408066037493,0.28144952773223564,0.6828031204150071,20.0,20.0,-0.07909016760378684,535.4941153526306,1511282172
44,1045,0.43101910692692474,0.43101910692692474,0.43101910692692474,0.43101910692692474,0.43101910692692474,0.333227238813413,0.7333818708885312,20.0,20.0,-0.03589098379117936,535.4941153526306,1511282172
45,1046,0.5874856262391781,0.5874856262391781,0.5874856262391781,0.5874856262391781,0.5874856262391781,0.2784388006234362,0.6796094349917763,20.0,20.0,-0.07860674411941196,535.4941153526306,1511282172
46,1047,0.5865936610036103,0.5865936610036103,0.5865936610036103,0.5865936610036103,0.5865936610036103,0.2787383205151388,0.6799285078233461,20.0,20.0,-0.07867092903719428,535.4941153526306,1511282172
47,1048,0.5856582696267688,0.5856582696267688,0.5856582696267688,0.5856582696267688,0.5856582696267688,0.27905259119295,0.6802629721078585,20.0,20.0,-0.07873443205711994,535.4941153526306,1511282172
48,1049,0.5846506523537762,0.5846506523537762,0.5846506523537762,0.5846506523537762,0.5846506523537762,0.27939132082866214,0.680623097993831,20.0,20.0,-0.0787984802443891,535.4941153526306,1511282172
49,1050,0.5835586001130785,0.5835586001130785,0.5835586001130785,0.5835586001130785,0.5835586001130785,0.27975866026729035,0.6810132089091219,20.0,20.0,-0.07886279377140715,535.4941153526306,1511282172
50,1051,0.582313312303074,0.582313312303074,0.582313312303074,0.582313312303074,0.582313312303074,0.2801778301201341,0.6814578151781763,20.0,20.0,-0.07892965912436942,535.4941153526306,1511282172
51,1052,0.43866815058860603,0.43866815058860603,0.43866815058860603,0.43866815058860603,0.43866815058860603,0.3304510039954276,0.7308627601015343,20.0,20.0,-0.04054235788496746,535.4941153526306,1511282172
52,1053,0.5896965705280968,0.5896965705280968,0.5896965705280968,0.5896965705280968,0.5896965705280968,0.277697047421096,0.6788179661691921,20.0,20.0,-0.07843235731301607,535.4941153526306,1511282172
53,1054,0.5886125500184892,0.5886125500184892,0.5886125500184892,0.5886125500184892,0.5886125500184892,0.2780606065644605,0.6792061231555538,20.0,20.0,-0.07852058225928046,535.4941153526306,1511282172
54,1055,0.6676041592626056,0.6676041592626056,0.6676041592626056,-0.3407928478806952,0.6676041592626056,0.33708929827763995,0.8194376896564692,20.0,27.71743386204951,0.2862362622924149,535.4941153526306,1511282172
55,1056,0.5857746890757048,0.5857746890757048,0.5857746890757048,-1.3414196018192643,-1.3414196018192643,0.44069790990165464,0.9297265172809196,20.0,42.20986924527172,1.3204158451577768,535.4941153526306,1511282172
56,1057,0.9221464240923936,0.9221464240923936,0.9221464240923936,-0.8034088858590898,0.5667216494621679,0.2778823537622577,0.8156066502599477,20.0,33.87362646652729,0.45357449406079964,535.4941153526306,1511282172
57,1058,4.57196847733225,4.57196847733225,0.5719684773322505,-1.4364002350533474,-1.4364002350533474,0.28180931333012815,0.8929147431943342,20.0,59.78938808145705,1.583484266998633,535.4941153526306,1511282172
58,1059,5.331484363527343,1.3314843635273435,1.3314843635273435,-6.668515636472657,-2.6685156364726565,0.13074325745638835,0.7320867680366401,20.0,58.091480940720345,1.464036283992714,535.4941153526306,1511282172
59,1060,0.5675206105256648,0.5675206105256648,0.5675206105256648,0.5675206105256648,0.5675206105256648,0.28518026386273765,0.6867191446950335,20.0,20.0,-0.0791976798302523,535.4941153526306,1511282172
60,1061,5.383138181403895,4.8504850093347365,1.3948024629009192,-0.15310065140880336,0.11695076033361129,0.07484079194949338,0.6473400195993598,20.776856407937416,61.18697594136188,1.6975802101260369,535.4941153526306,1511282172
61,1062,0.4688667630931973,0.4688667630931973,0.4688667630931973,0.4688667630931973,0.4688667630931973,0.31958243744574,0.7208020471518473,20.0,20.0,-0.05626920191120802,535.4941153526306,1511282172
62,1063,0.5804978027241149,0.5804978027241149,0.5804978027241149,0.5804978027241149,0.5804978027241149,0.2807894840397752,0.6821055402465755,20.0,20.0,-0.07901479321589638,535.4941153526306,1511282172
63,1064,4.312741244735384,1.6224800695137194,1.0637121317544374,-3.1745721517798344,0.7422256431846912,0.12252190924102077,0.7145688186890955,20.367754437827475,47.65769036942095,1.0218367132310677,535.4941153526306,1511282172
64,1065,1.359430992831592,1.359430992831592,1.359430992831592,-5.350154010032157,-1.350154010032157,0.1657090889449869,0.7488628612637882,20.0,53.7996694184526,1.2724664935961445,535.4941153526306,1511282172
65,1066,0.5783919494484882,0.5783919494484882,0.5783919494484882,0.5783919494484882,0.5783919494484882,0.28149976398574506,0.682856154694816,20.0,20.0,-0.07909520518554095,535.4941153526306,1511282172
66,1067,3.9677429073565613,3.947656959480285,0.48524749400667627,-4.023849240126589,-0.12359630404682703,0.2935275792557844,0.8953025103708001,20.269861604684383,59.83292044458348,1.6008379085481397,535.4941153526306,1511282172
67,1068,1.3197361200118016,1.3197361200118016,0.5532434182673696,0.5532434182673696,0.5532434182673696,0.1724933839249445,0.6490733609831827,20.0,28.141810231590686,0.26297878101310135,535.4941153526306,1511282172
68,1069,2.290936221338382,1.5130200508283917,1.2163739438893564,1.070159887594611,1.0939981666282992,0.05707623344059545,0.5473092752148296,30.95656620104291,46.41352913625504,1.4026907408990466,535.4941153526306,1511282172
69,1070,3.3461142434565683,2.205627988790431,1.5784872922082287,-2.526656106936407,0.673831402755678,0.05642365122695667,0.6046789175758753,21.23346504916296,54.05533231478199,1.4951417304613344,535.4941153526306,1511282172
70,1071,5.543595424741041,3.0376741203239956,1.325157836247029,-1.9572194085692651,-1.7911695851686653,0.09255330316302864,0.7037687020800931,20.772166046987216,61.73662175427495,1.6425243785643844,535.4941153526306,1511282172
71,1072,0.5829886920507759,0.5829886920507759,0.5829886920507759,0.5829886920507759,0.5829886920507759,0.27995045629245363,0.6812167160893907,20.0,20.0,-0.07889425051773649,535.4941153526306,1511282172
72,1073,0.45809852242486876,0.45809852242486876,0.45809852242486876,0.45809852242486876,0.45809852242486876,0.3234408302164765,0.7244103928442525,20.0,20.0,-0.05113995207477809,535.4941153526306,1511282172
73,1074,3.3582439313159047,0.9551538496175511,0.6562491250258344,-3.869810827618345,-1.095692019928269,0.29088613626246457,0.8964125681560444,20.58161856732653,55.42906270564478,1.4056793673788743,535.4941153526306,1511282172
74,1075,8.45971513570503,4.45971513570503,0.45971513570503086,-3.540284864294969,-3.540284864294969,0.3228601660230412,0.9140267623187698,20.0,59.996988750964675,1.6577212973336286,535.4941153526306,1511282172
75,1076,4.29291467526045,0.29291467526045034,0.29291467526045034,0.29291467526045034,0.29291467526045034,0.26530983409430137,0.7432656868567951,20.0,39.08766521645789,0.683673361878364,535.4941153526306,1511282172
76,1077,1.5080566142844292,0.12287148749790205,0.12183760542954064,-0.3723878688593466,-0.32750959490056414,0.44735215639591686,0.9125042230658267,22.262982387932816,38.729143185678666,1.209041849117687,535.4941153526306,1511282172
77,1078,6.336079637388339,5.203904122816403,1.420648198469869,-2.2380427313157885,1.3726166300987641,0.045412216412423864,0.5235706520346813,21.609954172709504,63.62968772915523,2.2916114564037064,535.4941153526306,1511282172
78,1079,6.741396628347305,2.8078114773729186,0.6354579643929111,-4.934475510361942,-3.322915700693877,0.26256005644328745,0.8862807098364252,20.37559233799308,61.06634563783193,1.6182289662436147,535.4941153526306,1511282172
79,1080,2.759248363006061,1.171045983037046,1.1081467106326288,-2.31202857088879,-1.0685045038753556,0.1778904313598124,0.8118748767418157,21.26225095327227,57.895301889918414,1.4386378233251003,535.4941153526306,1511282172
80,1081,7.112480411585814,3.6771299836020632,-0.18894468359205208,-7.456789843523648,-4.178165631181637,0.5749310234432284,0.9822832398333616,22.015107133857953,66.04233338022806,3.6502699890994514,535.4941153526306,1511282172
81,1082,5.7305551789212625,5.62328784936418,1.8242797027992563,-3.9580104764793655,-2.103513938317303,0.03405489852425222,0.5708180327367373,24.065750359373084,72.19432186825642,2.4098635723732578,535.4941153526306,1511282172
82,1083,1.3223223514950133,0.9723563265137187,0.6698928754859796,-3.591959555010942,-0.25146298541753964,0.30090967993070716,0.8993081161898973,21.480852636728642,49.6125468172119,1.1674314348242762,535.4941153526306,1511282172
83,1084,4.344145263791379,1.8326562173696734,1.4210146185758568,0.07946581904144079,1.2878836303581647,0.055752802792107356,0.5489791422360881,22.15726842899723,46.309581975627,1.3893017796725657,535.4941153526306,1511282172
84,1085,1.9951465041046554,1.8927954347327254,1.099506778915949,-0.007212842699933386,0.26779064135656805,0.12456006306042713,0.7165098941134067,20.85031186035905,44.50575519742944,0.8833901445540179,535.4941153526306,1511282172
85,1086,2.0573820741446918,1.460495185011463,0.6341418145803805,0.12874575952926293,0.5872190835853699,0.16890644178824063,0.7517945705120351,22.75491130858088,43.377707525696465,0.8186460959465708,535.4941153526306,1511282172
86,1087,2.521321266534269,2.353545780344888,1.188821229926564,-5.472288003159266,-2.7710759088426444,0.1193624830434368,0.7566780972168922,21.193640511813637,63.1137923484898,1.6705518310862433,535.4941153526306,1511282172
87,1088,4.177154275702536,3.494738998659708,0.45343312196782604,-0.8682230577096841,-0.17391317955021135,0.2970767643847274,0.8899659093870365,20.118406621463354,58.38995097827414,1.5432461787961596,535.4941153526306,1511282172
88,1089,5.033888947448315,4.829734804634063,0.9457900240801731,-2.936785298981744,-0.734823482820457,0.17191829320504418,0.8109383267685132,20.05668417082635,60.05362812157648,1.5314138179214634,535.4941153526306,1511282172
89,1090,3.936496139901503,0.36332016343522167,0.3318069124236178,-2.765961521408836,0.09123042211431809,0.4003550417957205,0.9090465394685222,20.025380342323693,42.18272334368354,1.1170473056241992,535.4941153526306,1511282172
90,1091,7.548916714234146,4.284681690678616,0.3043324007064606,-5.471498973421611,-1.539719810595602,0.3803696399855124,0.9395286152595606,20.656684667144823,61.895300523244295,1.8967248101426635,535.4941153526306,1511282172
91,1092,0.9874577783988845,0.5816137411308564,0.5168144285851065,-0.38772640877777764,0.03225365434787075,0.35181283289691284,0.8834847387216139,22.00818273890295,36.32559506023955,0.6961641730745649,535.4941153526306,1511282172
92,1093,2.0624652527996234,1.6419458747430742,0.5014044854298518,-3.2196246165316458,-3.0901625252131932,0.3121038229527404,0.9098101861566014,20.193211434618597,58.938469418952835,1.5914713818771118,535.4941153526306,1511282172
93,1094,3.431401514885538,1.9546334739021214,1.6205875646627277,1.0825151892152185,1.4955881395446715,0.027980519500852195,0.34863292919170896,20.399938749556497,36.79377588715158,3.330014828868817,535.4941153526306,1511282172
94,1095,2.7685071958488727,1.0460542912074038,0.7488162857940767,0.6927699326206745,0.694684375679476,0.12420319818635712,0.748564935093507,37.42886870861095,64.43057670284277,1.7311485234829531,535.4941153526306,1511282172
