,index,upper1,upper2,upper3,upper4,upper5,lower1,lower2,lower3,lower4,alpha,power,sample_size,max_ess,obj_func,execute_time,seed
3089,7090,7.5187114916268545,4.294092697090952,1.9653186707480554,1.481084173636331,1.481084173636331,-2.9966224023381365,-2.7114481009281395,-1.228231345065269,-1.228231345065269,0.0968030380603459,0.9045652641488525,25.98480225931768,121.27297165362711,1.1276047753858218,543.6106197834015,2780033386
3090,7091,12.136870045970793,10.837889218648602,6.945839084633224,2.971649921363021,1.497088508193486,-6.3693763423480805,-4.248349248805492,-2.502911491806514,-2.502911491806514,0.06718396878587958,0.9128699152839387,29.363463237773516,146.50500473369942,1.0214611031144674,543.6106197834015,2780033386
3091,7092,11.257707976571087,7.81138117072821,7.49080514362448,4.74326942449932,1.4581927376945385,-8.93670648293529,-5.227093333660576,-5.18684241884506,-2.5418072623054613,0.07239370140082255,0.9002987232954442,27.05930894672972,135.28897828544166,0.9549654600505934,543.6106197834015,2780033386
3092,7093,7.487524767148836,7.295630601507853,6.023663671834454,2.0426747767697355,2.0426747767697355,-5.3830019099731805,-2.250859037674168,-1.1833181747885666,-0.19761304152728743,0.02936557752814722,0.9057814904429131,38.76155103876981,182.6617523379301,1.2557529504683407,543.6106197834015,2780033386
3093,7094,11.852564262259271,10.330869735881897,6.6996039472454,6.275673335090992,2.2756733350909917,-4.071031757686719,-4.067526232870015,-1.7243266649090083,-1.7243266649090083,0.01143278412590409,0.9288952910613996,50.44576348625867,252.2188838356956,1.9941904919921716,543.6106197834015,2780033386
3094,7095,9.417890624038487,7.729390382606073,5.644417590483911,3.5749197290394346,1.462032033774826,-6.731428021181654,-4.926947434062624,-4.757015946691854,-0.7570159466918536,0.0718658131770118,0.9066624737842683,27.877486549501914,138.53806905768062,0.9792701766471423,543.6106197834015,2780033386
3095,7096,11.868501621268704,9.43435237444563,5.634824252286374,1.6998414903045156,1.6998414903045156,-6.231499674692857,-4.215490065581802,-4.184534349329042,-2.3001585096954846,0.0615337180175071,0.896352133506383,29.72276565621665,146.96439068038217,0.9759474393132538,543.6106197834015,2780033386
3096,7097,9.045175777563385,5.5718313848044625,5.095861477287407,2.541513396208687,1.571140655382924,-6.940216798002171,-2.94634125066586,-2.628328378099381,-0.833492916994597,0.058200681242045735,0.8869322642865147,27.838861645415815,136.62200887212703,0.9229870541687121,543.6106197834015,2780033386
3097,7098,12.695593241392768,9.99054583134201,6.283150021757624,2.9134330520645397,1.4562667996363927,-5.551874383205303,-3.589754008182811,-2.7730885801572596,-1.914250414377207,0.07265935310572613,0.8882093723049371,25.731375152327914,128.22671509292522,0.9324118374019711,543.6106197834015,2780033386
3098,7099,15.665308519378787,13.856004890712565,10.022200891521814,6.188965176800525,2.188965176800525,-1.5114477817862255,-0.6744396826178392,0.5126220440896538,0.5126220440896538,0.014054265093836685,0.8986601421369101,43.59498122737703,216.36822129903402,1.60308043664853,543.6106197834015,2780033386
3099,7100,11.432622164699886,10.21873376731786,9.506424703234602,5.773751697875988,1.7737516978759877,-4.9293145735735235,-2.879891911715344,-2.856030225032878,-0.9418351169645438,0.038052113721694106,0.9065481563706617,34.452766231076616,172.23587304054647,1.145946652379618,543.6106197834015,2780033386
3100,7101,6.8684058963024475,3.5601760563413656,2.321661229111681,2.2935647855642483,2.2935647855642483,-3.1805063575909056,-2.181169165880587,-1.7064352144357517,2.2935647855642483,0.016010798144792643,0.9236915529695833,60.36421538909633,238.15662975078368,1.809580028423056,543.6106197834015,2780033386
3101,7102,10.11104674547204,9.303007633955719,5.609576015859194,2.2129264703575773,2.2129264703575773,-5.36100122465293,-3.485965720205126,-3.0592385266981985,0.9407614733018013,0.01951077687886345,0.9259908018551084,46.439100799953316,207.82553978142224,1.5956370476165358,543.6106197834015,2780033386
3102,7103,8.187784150301768,7.169214876732409,7.023257798908605,5.834744544569062,1.8347445445690622,-9.857221332647091,-8.372187568375336,-6.165255455430938,-2.1652554554309376,0.033271774361740614,0.9138425511078833,36.85473430401197,184.2711161182687,1.2680807624308714,543.6106197834015,2780033386
3103,7104,9.276075324098464,7.088535339044152,5.264821419063747,4.436921231525661,1.454069073381943,-10.054262531217887,-7.2826730949904,-6.545930926618057,-2.545930926618057,0.07296353710037731,0.8945621685138165,26.35150830689274,131.74438205439944,0.9404994949595761,543.6106197834015,2780033386
3104,7105,12.045319572581302,9.31004298997283,6.908094242566216,4.122861421198283,1.6891049950220245,-7.445334589223695,-5.657816377502587,-5.4489864366457414,-1.4489864366457417,0.04559956706035675,0.9042456316650015,32.30394620083521,161.34533351282982,1.0524460735929324,543.6106197834015,2780033386
3105,7106,8.13236543731016,4.781105194851763,4.726087663262923,3.638801402882663,1.6446334825982467,-5.9082901891736395,-4.483096703252638,-3.9066538759155067,-2.3553665174017535,0.050022118969519726,0.8994126451081879,30.768772572093088,153.75752969562424,0.9975120642102171,543.6106197834015,2780033386
3106,7107,7.280564440504902,6.37371877804397,5.140192651098052,1.3495643056711562,1.3495643056711562,-4.209764824658749,-2.2959572789892926,-1.1449744671497293,1.3495643056711562,0.08857780345803232,0.8978779685852912,30.86982679568194,123.4249689440194,1.0307911235620253,543.6106197834015,2780033386
3107,7108,8.287074684940052,8.133395091196299,4.267417062636716,1.6706585231195084,1.6706585231195084,-2.363541567494913,-0.9914687887087019,-0.5970789499695879,0.6232370296323266,0.06474355013451796,0.9272247075977393,33.509134860148535,143.08329293334714,1.075973535976288,543.6106197834015,2780033386
3108,7109,7.869458246388372,6.6797400256731585,6.460068926318161,2.8845639887794987,1.2553105124295592,-4.607951937654471,-3.732917485204834,-2.744689487570441,1.2553105124295592,0.07159990809610672,0.8946747352509047,29.523303521608483,135.3541826232996,0.9543629579294052,543.6106197834015,2780033386
3109,7110,8.724390836913045,7.852999136945872,6.614185130975484,6.132307204924983,2.1323072049249827,-8.707482738043504,-4.742397740665707,-4.14053438765251,-0.14053438765250936,0.016490791808346603,0.9177811373814898,44.67247149587648,223.28294491387746,1.6703117278131911,543.6106197834015,2780033386
3110,7111,7.862483509663061,6.288981545524329,3.1304735805649853,1.4306221120883935,1.4306221120883935,-4.043881754335867,-2.8530658712148327,-2.7619417543203992,-0.195922745103136,0.10229262488158697,0.9036532989660963,25.06476919420895,114.74108732876113,1.1679319603676603,543.6106197834015,2780033386
