,index,upper1,upper2,upper3,lower1,lower2,alpha,power,sample_size,max_ess,obj_func,execute_time,seed
0,10001,8.185178931369741,4.185178931369741,0.7082350725965494,0.7082350725965494,0.7082350725965494,0.10460602984794992,0.8267529144896008,52.18319807614501,142.0116650784839,2.207937533253671,23055.54481291771,1511282172
1,10002,11.807382017483288,7.807382017483288,3.8073820174832886,-1.048779792254265,2.9512202077457346,5.033103871809001e-05,0.8639424100926142,160.0,477.5614772310828,3.683060807619429,23055.54481291771,1511282172
2,10003,5.71433985927373,1.7143398592737307,1.7143398592737307,-2.2856601407262693,-2.2856601407262693,0.06472653586548038,0.9144798431905192,53.86150357804202,157.61368877922195,1.088224875082283,23055.54481291771,1511282172
3,10004,6.362245440879287,2.3622454408792866,0.9439609146779817,-1.1244170376946994,0.9439609146779817,0.1107719465219229,0.8832618561645429,42.98080593705256,107.90659796483357,1.3125096212616638,23055.54481291771,1511282172
4,10005,9.516849652403572,5.516849652403573,1.5168496524035726,-1.2128181495814436,0.37125646445007443,0.06278116908998532,0.9133161216252746,50.7955955186182,151.83366165028346,1.0374934188056049,23055.54481291771,1511282172
5,10006,5.176469989166718,1.176469989166718,1.176469989166718,1.176469989166718,1.176469989166718,0.059426311878212845,0.9641578075367501,160.0,312.7105564833119,2.6768318277225474,23055.54481291771,1511282172
6,10007,9.502527600871456,5.502527600871455,1.5025276008714556,-2.4974723991285446,-2.4974723991285446,0.06647993470580996,0.9150919521784717,49.60622660942779,148.80464242514714,1.0423035850250728,23055.54481291771,1511282172
7,10008,7.628514811494901,3.628514811494901,1.3293192430704206,-0.3715518294564031,-0.3715518294564031,0.08738099774532819,0.9126786144764697,46.24084132465614,132.73495611655562,1.1012585967029191,23055.54481291771,1511282172
8,10009,9.84176820312647,5.84176820312647,1.8417682031264702,-4.872424619089828,-0.8724246190898282,0.032754357837479084,0.8917613339582273,56.83460971764441,170.4584383678103,1.1621101060296242,23055.54481291771,1511282172
9,10010,10.378874838769464,6.378874838769464,2.3788748387694647,-1.0657455901095174,1.644295050057086,0.007102930942077809,0.8783827163366288,83.45289479049525,248.85281489691178,1.9700568556219649,23055.54481291771,1511282172
10,10011,5.756540853879231,1.7565408538792306,1.7565408538792306,-3.7486337338375098,0.25136626616249,0.05912179345760975,0.9120923428413141,55.18651494976528,140.6302182405269,0.9476658130780097,23055.54481291771,1511282172
11,10012,8.013190463728424,4.0131904637284235,1.5443367454878685,-4.50649399073974,-2.4556632545121317,0.061253226074189614,0.898730516594848,47.68073524888119,142.98337323415075,0.9473336247174546,23055.54481291771,1511282172
12,10013,11.864835678107813,7.864835678107813,3.8648356781078133,-0.13516432189218675,-0.13516432189218675,5.5513459921324334e-05,0.9028518384684966,160.0,479.79548138432483,3.498310055514456,23055.54481291771,1511282172
13,10014,10.969214680821315,6.969214680821315,2.9692146808213153,-5.030785319178685,-1.0307853191786847,0.001492809654785371,0.9007408420851295,108.63059666967351,325.88471947991417,2.4768753364425264,23055.54481291771,1511282172
