,index,upper1,upper2,upper3,upper4,upper5,lower1,lower2,lower3,lower4,alpha,power,sample_size,max_ess,obj_func,execute_time,seed
0,10001,4.522299333372627,3.627923388858149,3.469269956100139,1.8201400535497323,1.8201400535497323,-6.632559461604913,-2.632559461604913,-2.179859946450268,-2.179859946450268,0.048047151051255996,0.9409293222881808,39.305301400144344,193.44296416030275,1.5137270712149138,2411.3012278079987,1511282172
1,10002,12.38774706398447,11.092142501791393,10.785432380030963,7.448307734098473,3.4483077340984734,-4.523728607834095,-4.523728607834095,-0.5516922659015266,-0.5516922659015266,0.00028205544386169785,0.8092509532585492,67.29204736237307,336.442118278489,3.8330904549355482,2411.3012278079987,1511282172
2,10003,9.58740171687551,5.621508128502478,4.001797326540088,3.9512183406846377,0.966314188258236,-7.1389279771664675,-3.1389279771664675,-3.0336858117417638,0.966314188258236,0.12106430170590286,0.8580768091257176,20.0,96.63240837228248,1.6762757771187617,2411.3012278079987,1511282172
3,10004,8.351313296888808,6.340057279367723,3.642576415784502,2.4176879582541178,2.4176879582541178,-9.829190654982057,-5.829190654982058,-5.582312041745882,-1.5823120417458822,0.011579593433544876,0.8921611984657405,46.369046908656834,229.70343658343202,1.7271525119841136,2411.3012278079987,1511282172
4,10005,4.252276410519946,3.0227982940997657,2.902570318459163,2.5629107085112928,1.3602969755536958,-2.891637363498532,1.108362636501468,1.3602969755536958,1.3602969755536958,0.0309173378238959,0.6796004497530529,28.5893385164989,94.46228738510659,8.156878896206264,2411.3012278079987,1511282172
5,10006,11.079132262574293,7.84626949782043,4.930943952948256,1.8924588193037588,1.8924588193037588,-9.940357751406697,-9.940357751406697,-6.107541180696241,-2.1075411806962414,0.04113563041635387,0.9233275516057597,37.818492162021684,187.31883117738403,1.311175041967597,2411.3012278079987,1511282172
6,10007,13.022462657809637,10.21425894175219,7.210402754646756,3.3586080396579012,3.3586080396579012,-7.227313385333352,-4.210679081953136,-0.6413919603420988,-0.6413919603420988,0.000629084611359265,0.8642453437449622,70.01795685445394,344.0291661551422,2.8045931805455444,2411.3012278079987,1511282172
7,10008,10.046116637454473,8.224491243976983,6.832745147918013,3.824745950510441,1.911376240124896,-1.9558919016496341,-1.0497967294081547,-0.5579825014644813,-0.4721997382348573,0.027936988410645573,0.9021928353910035,37.036084734115946,182.33084897408565,1.258597658260803,2411.3012278079987,1511282172
8,10009,13.632232460578122,11.464724711687325,8.126910100373488,5.072387893289809,3.9715739774461714,0.18532000708441965,3.3575838342854807,3.914528884083388,3.9715739774461714,2.453656110950738e-06,0.7818539240115656,160.0,607.3914522749053,6.477308451695553,2411.3012278079987,1511282172
9,10010,8.625765084266085,6.517059123413023,5.8950275085525,4.197833352559376,0.7264785417962212,-8.032220782376168,-5.061806806206247,-3.175188673159897,0.7264785417962212,0.17735384139589488,0.9057053390090952,20.0,98.3425467260004,3.1431342247996725,2411.3012278079987,1511282172
10,10011,12.752031355939955,10.851621184292494,9.614181645775425,7.34190710218538,4.901020986712603,-2.75345379026722,-1.7819832982177308,0.7601884760418409,0.9010209867126031,4.766991636018216e-07,0.8267836825764358,122.89272358380494,613.9680074900807,5.1946478450697064,2411.3012278079987,1511282172
11,10012,14.985693526863908,11.727025982070852,7.802724256056584,7.675518638675996,4.901020986712603,0.8828575759866357,0.9486340711738985,1.4938393235805685,4.901020986712603,1.0683067091137167e-07,0.8463365914405321,160.0,630.6883125769693,4.920697927940196,2411.3012278079987,1511282172
12,10013,14.358981292988108,10.373224106250063,7.75272777700952,4.128436159138075,3.8971199056307713,-5.429528041066173,-2.1988258502638454,0.2707517154059782,3.8971199056307713,2.5451797872773192e-05,0.7182160982408843,90.70366517428839,371.1046458106365,7.886339791406101,2411.3012278079987,1511282172
13,10014,12.18264531138763,9.039150965902344,6.899326202236337,4.2244124286586064,1.8473732780519823,-9.117479773709114,-7.239458435715488,-4.896069705298261,-2.1526267219480175,0.03234645207105627,0.8450142127989164,29.506234748759077,147.48815519319743,1.4708887919782083,2411.3012278079987,1511282172
14,10015,10.187186315785741,8.271579449154775,7.557297750606211,4.0371725489950006,1.138188958116397,-6.167059667735294,-5.781758377789238,-5.113836551611987,-1.1520762912737068,0.12752067645343934,0.888518903401557,20.0,99.80894426780107,1.5941548173740516,2411.3012278079987,1511282172
15,10016,10.300249849713206,7.503434006026607,7.35398513727791,4.2909843766854,1.7712899466025853,-7.279663302157474,-3.809509053912346,-2.1924817070945632,1.7712899466025853,0.02331436445929618,0.9572813544682968,55.77132014734085,267.26429839338255,2.3493627263537573,2411.3012278079987,1511282172
16,10017,11.724646904259275,9.035350146755912,5.164648455083903,4.481730914722019,1.3003760771265,-11.757550413089376,-9.151803765418169,-6.36461800650388,-2.6996239228735,0.0967360147282337,0.9946792163989411,53.861992974100744,269.2912524591738,3.4654703278839287,2411.3012278079987,1511282172
17,10018,9.756325044256368,6.759300726511024,6.392858443594432,4.923371206072621,1.7804505176955823,-9.11742705202657,-7.345017198295164,-6.085377511537257,-2.2195494823044175,0.03750112562538811,0.9998332468557959,126.92857912986568,634.5964604315304,5.677203704560094,2411.3012278079987,1511282172
