,index,upper1,upper2,upper3,upper4,upper5,lower1,lower2,lower3,lower4,alpha,power,sample_size,max_ess,obj_func,execute_time,seed
0,28001,14.4689424831644,10.4689424831644,6.468942483164399,2.4689424831643993,2.4689424831643993,-7.641431791840981,-7.641431791840981,-3.641431791840981,0.35856820815901846,0.010091957702089168,0.8755148986051973,45.4844817143893,214.16676405316426,1.7272684381034908,1134.9372742176056,538981351
1,28002,16.901020986712602,16.901020986712602,12.901020986712602,8.901020986712602,4.901020986712603,0.9010209867126031,4.901020986712603,4.901020986712603,4.901020986712603,3.720002160142552e-09,0.24017079195260327,160.0,488.4332534029243,70.66661325411293,1134.9372742176056,538981351
2,28003,9.390634543812011,5.390634543812011,1.3906345438120111,1.3906345438120111,1.3906345438120111,-2.609365456187989,-2.609365456187989,1.3906345438120111,1.3906345438120111,0.08216765756568152,0.8570125915491498,36.240099187100526,108.71073407473821,1.1495926385887474,1134.9372742176056,538981351
3,28004,13.440416063740994,9.440416063740994,5.440416063740993,5.440416063740993,1.440416063740993,-7.775655425493366,-7.775655425493366,-3.775655425493367,0.22434457450663303,0.07470876823533705,0.8936625001008598,26.01981807900397,129.81378922786024,0.9424334499362237,1134.9372742176056,538981351
4,28005,16.398617119565372,12.398617119565372,8.398617119565372,4.3986171195653725,1.7001574437978009,-10.299842556202199,-10.299842556202199,-6.299842556202199,-2.299842556202199,0.0445506152380867,0.9239137225987052,35.325919686208564,176.60031042060356,1.2383752574066396,1134.9372742176056,538981351
5,28006,12.671069600968359,8.671069600968359,8.671069600968359,8.671069600968359,4.738222339070257,-0.9519233553477449,-0.9519233553477449,-0.9519233553477449,3.048076644652255,1.0758781279331168e-06,0.9118717690236398,133.5870407946171,667.2146779219024,4.73545008800109,1134.9372742176056,538981351
6,28007,14.94935146416119,14.94935146416119,10.94935146416119,6.94935146416119,2.9493514641611904,-5.881881055675554,-5.881881055675554,-1.8818810556755539,2.1181189443244457,0.0014998510516388707,0.9095224112877272,67.37632161085622,335.8161130245257,2.555090251798279,1134.9372742176056,538981351
7,28008,6.095438005945657,2.095438005945657,2.095438005945657,2.095438005945657,1.9360852848574506,-3.2700631706777097,-3.2700631706777097,0.7299368293222901,0.7299368293222901,0.04590517476723397,0.9204764261213121,39.71428874720284,145.77726964765912,1.0129061439869231,1134.9372742176056,538981351
8,28009,11.438443488488307,11.438443488488307,7.438443488488307,3.438443488488307,3.438443488488307,-4.561556511511693,-0.561556511511693,-0.561556511511693,-0.561556511511693,0.00047266586325098886,0.8773442876642303,74.67035419610548,351.0336316019026,2.7344755288528138,1134.9372742176056,538981351
9,28010,11.03212470017726,7.03212470017726,7.03212470017726,3.0321247001772598,1.4547803460626973,-7.376910535853354,-7.376910535853354,-3.376910535853354,0.6230894641466456,0.07137948978796184,0.9023559251165063,27.575038351890655,131.57413552996778,0.9248647933160716,1134.9372742176056,538981351
