,alpha_mean,power_mean,sample_size_mean,execution_times_min,seed,best_obj_val,best_obj_index,better_than_tri
0,0.19820514272731277,0.9088225528222198,31.28515625,6.419786155223846,63822,0.3129758813213037,462,False
1,0.18547725766001008,0.9068810274965692,30.090210326417477,6.699900043010712,95662,0.28057040805048394,80,False
2,0.21842180464484728,0.9091290812930763,27.469549304710892,6.9929443359375,17818,0.27741166829196157,417,False
3,0.20834420538789356,0.9086073376128294,28.291245877385855,6.516612708568573,43413,0.2918054252950843,888,False
4,0.199167942365539,0.9082786238236228,28.833462104112087,6.894644761085511,13756,0.2860818643395891,690,False
5,0.21002760059835587,0.9098440936813236,28.995731193862277,6.394474216302236,83768,0.2898864289594696,802,False
6,0.202245258259696,0.9085436581794534,29.213409241088137,6.3829875985781355,76897,0.2699027368787273,567,True
7,0.18646351115105625,0.9074192624042327,30.70975553775262,6.700496991475423,24431,0.27198712522862506,866,False
8,0.19587191397146042,0.908202408216954,28.785664267168787,6.9970728317896524,81535,0.29330806517516783,326,False
9,0.2089384175046469,0.9087353240985003,28.685197476141468,6.372968463102977,47536,0.28843929133030183,766,False
10,0.19627525104039012,0.9082749045396266,30.35020620380333,6.784745542208354,31248,0.28945582675948833,308,False
11,0.1905525455611175,0.9074267426253283,29.055706823657374,6.695879312356313,35366,0.2788920274647416,572,False
12,0.20963580222508071,0.9088338785210832,27.298755759964447,6.699873526891072,27223,0.2745233184264809,866,False
13,0.20388809276203035,0.9080989510758348,28.225181351164856,7.019139802455902,77208,0.29153964169310026,40,False
14,0.22525701983993032,0.9100568070662668,27.498471562733908,6.4136025985081995,11030,0.28276003828860824,425,False
15,0.2147926085262145,0.9083969874977149,28.4139371403677,6.4407777190208435,59659,0.28030006223356957,587,False
16,0.20177040318144246,0.9083943529037685,28.458690529098053,6.476697301864624,68857,0.2675101521361968,656,True
17,0.1957181113731409,0.9080212374428087,30.632426553143713,6.4811547040939335,65141,0.2982547768740837,821,False
18,0.20309264541034822,0.9084636112444759,28.059563368380427,6.74343942006429,19191,0.2774404083440258,597,False
19,0.20519177555303997,0.9083071571424232,27.90155650612837,6.307809309164683,3934,0.28518893301537673,21,False
20,0.1960548677050297,0.907978961745264,28.718686406483908,6.784219400087992,96271,0.2975269807113492,342,False
21,0.20039792328991232,0.9078345448970384,29.294696008373876,6.463375488917033,18927,0.2867743398184615,144,False
22,0.21737901095840953,0.9087232453876956,27.77034078815026,6.6325204809506735,91063,0.2934883568740668,826,False
23,0.20611472676215994,0.9087783762431801,28.64440187008795,6.603589161237081,16987,0.2961963593248296,559,False
24,0.205285198094596,0.9090594893502489,28.53906396191991,6.714075863361359,69778,0.2990278603147088,348,False
25,0.20849190689160388,0.9086344222596973,29.04322458598428,6.434218815962473,83093,0.28665711562479845,918,False
26,0.20519588667916125,0.9093488247463081,30.587977609234656,6.651976943016052,48487,0.29782500830349623,151,False
27,0.22726040483750573,0.9103402887024125,28.766788688248504,6.55471750497818,63467,0.2872443380902055,279,False
28,0.18085441250247017,0.9067299962994679,28.61030405010292,6.988153326511383,86287,0.2671916374531488,239,True
29,0.20880977865123845,0.9085120984016197,29.2694270882064,6.1586148301760355,87245,0.2849635255772688,967,False
30,0.1926257573281146,0.907671924515441,29.16835140753649,6.133836289246877,86143,0.29624178638917714,462,False
31,0.19960504334154475,0.9080114980880415,28.204479103316803,6.9415626406669615,39488,0.29098349168059096,868,False
32,0.19444975731768457,0.907846640163576,28.95493558780876,6.9982855200767515,87777,0.29237875011504183,634,False
33,0.19957129653214556,0.9092090088851726,29.558649668436566,6.400814314683278,28685,0.29258544339095865,429,False
34,0.1984071592720906,0.9081809970181713,29.004864538501124,6.543597773710887,13109,0.28871866754108644,937,False
35,0.20906423405566113,0.9093173000580242,28.375577092884544,6.7394974748293555,45024,0.3112750807556299,309,False
36,0.19128718416674784,0.9078207391229391,30.267397212411115,6.669151353836059,89817,0.30084423003083505,978,False
37,0.1913172569017668,0.9083048061594996,30.04271693429547,6.399416212240855,59018,0.29923874465059963,555,False
38,0.2024073667361557,0.9085802601662006,28.553068423699475,6.365587143103282,4593,0.2713456748934491,252,False
39,0.21040647730517964,0.9096034583344287,27.40196255438342,6.976406506697336,49355,0.29441602606821404,774,False
40,0.2039763508621885,0.9089422945332051,29.395771689043787,6.739963376522065,11608,0.2830392856945709,141,False
41,0.20084738974061322,0.9092172206866973,29.19940477930857,6.611720530192057,69045,0.27007716578461327,817,True
42,0.20483860844186608,0.9089215399363998,28.82859098697137,6.6065560181935625,59516,0.29117885435862384,893,False
43,0.20871173021462647,0.9090787745791848,28.532670620672718,6.550846862792969,34944,0.2767116829502006,30,False
44,0.19468394797956431,0.9081802766267512,29.14612693558196,6.5741320013999935,55611,0.28815108718292903,351,False
45,0.21227706406043453,0.908554761511012,27.134964446107784,6.433616141478221,15712,0.28208143448630324,30,False
46,0.19418816145378462,0.9081440435705246,29.098633543459954,6.724886047840118,97743,0.2843620699046715,721,False
47,0.20479213855768888,0.9089653563806516,29.126642467019085,6.804863194624583,51764,0.29825425395079824,263,False
48,0.21369431698117372,0.9087638320212862,28.771355360567927,6.509531704584758,50268,0.2934353598208318,685,False
49,0.21378246523925049,0.9096731344480675,28.06595670962762,6.5328990578651425,27428,0.2890302064424182,392,False
