,index,upper1,upper2,upper3,upper4,upper5,lower1,lower2,lower3,lower4,alpha,power,sample_size,max_ess,obj_func,temperature,execute_time,seed
0,1001,11.265836066974288,9.443026500811609,9.359950457874607,6.11715549200972,4.663519547826653,-2.3725081192791553,-1.5067839060427,-0.22335948728987187,0.7667571848924792,1.5542383954381934e-06,0.034345039185349036,29.09904320521467,145.23945622886353,116.84060358435734,50.0,4.316221714019775,98204892800484403055623800779791099565
1,1002,12.407305476824611,10.584495910661932,9.359950457874607,6.11715549200972,4.663519547826653,-2.3725081192791553,-1.5067839060427,-0.22335948728987187,0.7667571848924792,1.554238392561557e-06,0.034345039138721445,29.09904320521467,145.2394331699213,116.84060344721296,49.9,4.316221714019775,98204892800484403055623800779791099565
2,1003,11.8505048401001,10.027695273937423,8.803149821150098,5.560354855285211,4.106718911102144,-2.929308756003665,-2.0635845427672095,-0.7801601240143814,0.20995654816796971,2.0066046992197304e-05,0.10317586872558326,29.09904320521467,145.2557586959373,99.20115362085726,49.8,4.316221714019775,98204892800484403055623800779791099565
3,1004,11.8505048401001,10.027695273937423,8.803149821150098,5.560354855285211,4.106718911102144,-1.1462456017633196,-0.28052138852686426,1.0029030302259643,1.9930197024083158,2.0055656977664657e-05,0.10314175774044088,29.09904320521467,142.8045071554392,99.19363184805937,49.7,4.316221714019775,98204892800484403055623800779791099565
4,1005,10.959485527537778,9.1366759613751,8.803149821150098,5.560354855285211,4.106718911102144,-1.1462456017633196,-0.28052138852686426,1.0029030302259643,1.9930197024083158,2.0055678805781973e-05,0.10314183955699407,29.09904320521467,142.80496777332007,99.1936147359639,49.6,4.316221714019775,98204892800484403055623800779791099565
5,1006,10.959485527537778,9.1366759613751,8.803149821150098,5.560354855285211,4.106718911102144,-1.1462456017633196,-0.28052138852686426,1.0029030302259643,1.9930197024083158,2.0055678805781973e-05,0.05439231225406693,29.09904320521467,110.70509975728892,111.32801919312438,49.5,4.316221714019775,98204892800484403055623800779791099565
6,1007,10.487066800438816,8.664257234276139,8.330731094051137,5.560354855285211,4.106718911102144,-1.1462456017633196,-0.28052138852686426,1.0029030302259643,1.9930197024083158,2.005569535350545e-05,0.10314189780050009,29.09904320521467,142.8056638013798,99.1936049423035,49.4,4.316221714019775,98204892800484403055623800779791099565
7,1008,10.487066800438816,8.664257234276139,8.330731094051137,5.560354855285211,4.106718911102144,-0.8837579508694953,-0.018033737633039948,1.0029030302259643,1.9930197024083158,2.0042003002573984e-05,0.10309087196539735,29.09904320521467,142.60372691453966,99.20483107091084,49.3,4.316221714019775,98204892800484403055623800779791099565
8,1009,10.487066800438816,8.664257234276139,8.330731094051137,5.560354855285211,4.106718911102144,-0.8385888064905425,-0.018033737633039948,1.0029030302259643,1.9930197024083158,2.003886472070186e-05,0.10307876497368096,29.09904320521467,142.57119678944454,99.20759462887384,49.2,4.316221714019775,98204892800484403055623800779791099565
9,1010,10.487066800438816,8.664257234276139,8.330731094051137,5.560354855285211,4.106718911102144,1.192478317037109,2.0130333858946114,3.0339701537536157,4.024086825935967,5.845072946071668e-06,0.044918077841508475,29.09904320521467,116.59645524794746,113.85022230138011,49.1,4.316221714019775,98204892800484403055623800779791099565
