n,c,delta_u3,delta_l3,delta_u2,delta_l2,feasible
20.00863484161246,1.836189288017478,0.11256767937096858,4.0,0.0,0.0,0
19.982103340124386,1.944750515102015,0.0,3.8564172187710675,0.13190969622942428,0.11666879031434224,0
19.972831884283476,2.1612730849987574,0.07012640133780684,3.855479938474619,0.055312617612374826,0.0,0
20.094694824845384,1.9846980173056143,0.0,3.8822343762465135,0.18338120080110454,0.0,1
19.898678106324827,1.9393668713803178,0.0798463778330023,4.0,0.06190989173939826,0.0646231504511824,1
17.875277679191708,1.648644395358805,0.30738891683299413,3.6813727125895377,0.9596905143517881,1.0366394448735974,0
17.536938420412906,1.5835831762721182,0.2605531438400388,3.9010275400004244,0.9787817266459801,0.9487667412112429,0
17.454204082967834,1.7444308462765052,0.40172819756483397,3.8362419113360713,0.9980079176576921,0.900832933281666,0
17.655867573521924,1.719743508239831,0.4275932359972224,3.8981318557025,0.6487202279871137,0.8193429185118685,0
17.48347464091722,1.613774970579996,0.3429539885097222,4.0,0.7374189336114773,1.0125353541541857,0
21.068753132646954,1.785375187287423,0.06226452846979766,0.799465585195579,0.35280195511229495,1.2430777915735904,0
21.268874837552058,1.7662551728856042,0.1665479508926199,0.682836586759445,0.054765019642678464,0.9540826241930797,0
21.183265755489085,1.910182053393354,0.05921542911463161,0.8151050386018526,0.1820300711928866,1.147856659955109,0
21.415022157484426,1.7892059608272535,0.10636785433765854,0.6122433443316896,0.19165989115860596,1.0668150221938524,0
21.14180765155097,1.9086538139031266,0.0,0.7134063533008405,0.3182299669792531,1.1910553826980934,0
20.782746354129632,1.7642206774431788,0.1018663323018445,0.7897017913630204,0.19759236772406483,0.8766656578832623,0
17.50124261959448,2.1127465405149977,0.3069654116497714,0.8313565157781371,0.14519636314262807,1.4055815327022363,0
24.108692638047273,1.9657420552806866,0.1518174884144859,0.5748771725987828,0.0526408363986532,1.3656371442199067,0
20.878946496725437,1.6570259606624274,0.1033679254246924,0.759063976856825,0.09653879304182163,1.338044276749027,0
23.906378896741426,1.9672857153558512,0.14598331131411887,0.7879175399131533,0.31898639597929057,1.2139836672264939,1
17.165626809788215,1.785092383087655,0.014059413919563316,0.7079267270383987,0.1801431350484884,0.9107902196132298,0
17.35521327561484,1.8881946850919165,0.057635102030067074,0.9666043065177656,0.3173279289802487,1.0321975890145039,0
22.230338513203492,1.5492902644031077,0.3238507338893392,0.7009142976574275,0.42746577190016277,0.8737137062470649,0
21.18776690677093,1.8300321383980016,0.3168461389854531,0.7545690669173326,0.2585810696426433,0.9842611041487379,0
19.636873571814846,1.848011383268212,0.148286925386244,0.4244994834198856,0.45125286673429554,1.3617721693974618,0
17.723674488375433,1.8680296279087187,0.03668248446581411,0.8148762913155744,0.15358682260343004,1.2197292871087428,0
23.59112974125815,1.9967964369358833,0.03640044760485758,0.9611393425742523,0.12572399694568784,0.8465232399993096,1
21.86970829230416,1.7581613121027524,0.28034576641181386,0.8964831187302684,0.17319524776757828,1.3958153433354488,0
19.230361979790512,1.844642219324318,0.086478207381738,0.9731583775210655,0.08989528687840571,0.8510220779289991,0
20.672154198419705,2.1310332802187912,0.3012545631819587,0.8606970471658569,0.4864777851559486,1.3601436901123196,0
21.509767202253816,1.725165372883765,0.26082561124772374,0.8085289933923441,0.20406119967357558,0.8807557071305109,0
23.789079711879587,1.693084251339008,0.31650379249041766,0.5561145804950982,0.06704031262204149,1.3227433095685455,0
17.854026764634266,1.6431689266799328,0.20250241636952762,0.9362694599941661,0.10727650051296421,1.0102699100336585,0
24.095231980801103,2.1187037974218694,0.16917619527318656,0.4978707370224378,0.007610857126664405,0.9618693242929148,0
17.639405776254534,1.9422031459530036,0.041161302807892285,0.7153301944640671,0.3791491907115581,1.172745671826143,0
18.3189401149899,2.018082657494647,0.24170142100275793,0.8549226378410124,0.07157299298991808,0.8983279884838085,0
25.5968091084544,1.7741548580802535,0.10167598761762117,0.7046826627026074,0.3620020570294,1.3974496605217839,0
19.185645867209875,2.0904929993725054,0.008398818162031436,0.7446510608877821,0.3462251998447382,0.8876141485440537,0
17.724579569028453,1.7870765333750716,0.3264429672494847,0.7691577674323111,0.5095407460108856,1.3066922556613842,0
20.99499961394224,2.0064660113366015,0.006026185447260513,0.4770186335511283,0.45296586987972703,1.3021659592886987,0
18.64759101805366,1.8540696961447214,0.20474339568296906,0.932175607757294,0.32936765533854667,1.07161864785781,0
20.06302403246115,1.7911371936093952,0.22025591967903235,0.9320266145430822,0.24788124298611816,0.9727794440644166,1
18.687807228365138,1.983216509931357,0.2758790376774918,0.47469908340416234,0.036348987722306894,1.1807359045474728,0
17.78291604031631,2.0304064560590938,0.1048470564085074,0.49785539527437295,0.5029585231548828,0.9233947399347686,0
19.168384421768682,1.6277759789005244,0.039018499179070416,0.42422104529355137,0.030252428297256172,0.9288605888551134,0
16.85500292466108,1.8902942314518718,0.22998047071884614,0.6477105095909044,0.17366065175513357,1.12679144850694,0
25.071233020735413,2.0462869178786125,0.014688117900527473,0.5204312812496018,0.12929062797589602,0.9737082517929289,0
