c,delta_u3,delta_l3,delta_u2,delta_l2,obj_f,feasible
1.9011055855586068,0.027643103131976966,0.7687966982674749,0.2706283550432033,0.9093390214570385,0.2878081602411625,1
1.604651053853505,0.03932134822605478,0.6925142569582143,0.2469467299769334,1.0333855693449916,2.0,0
2.0071278131606505,0.0458208635486714,0.7198517554279804,0.2752460281596882,1.1825762598636511,0.3105273611862273,1
1.6863587830966873,0.04173045203520691,0.6465571610466592,0.26909187841568033,1.1241185478627465,2.0,0
1.8107836284366263,0.03123364875034251,0.8025572666855508,0.2435398500867292,1.0813682524282353,2.0,0
1.779923956566055,0.04336603604991541,0.7412636946687242,0.2575717772556134,1.1784313618191047,2.0,0
2.2399988173619185,0.03397879403053577,0.6784977049798933,0.2272326557223021,1.199349800402263,0.36755696269025123,1
2.0531714964582854,0.036903469617833175,0.6550476188297002,0.22696776808469635,1.2032602763979683,0.3278398772315322,1
1.9820107969851593,0.043474486877433875,0.667537128101711,0.2531051238378521,1.1429416564356618,0.31546869365827074,1
1.88523428813909,0.04675723197386382,0.7311196859705767,0.26415609122012335,1.1373937784627082,0.28353581810347955,1
1.8982279870409684,0.044355826452767325,0.6109241630779565,0.23945486571361724,1.076618199793859,0.2939569588418291,1
1.7270228257664195,0.035291521682115086,0.8220373978631381,0.22594492733480548,1.2391510883453016,2.0,0
1.5344179379814986,0.03469409389452417,0.7267686592361932,0.26186325934027244,1.2101104334489505,2.0,0
1.9912524096392865,0.03455569347189755,0.6820655540389274,0.2685854183962697,1.1081461947018119,0.31502367671787573,1
1.6095387512825217,0.026710072054347115,0.6493769399841951,0.2596602111892097,1.1458496477755866,2.0,0
1.9420385853954274,0.1883007887883792,0.8854686295709349,0.3636202055032063,1.0735910893162457,0.3222478259761811,1
2.0333009073589112,0.056444017446332956,0.42875694798740305,0.04928880664426382,1.2631745828100738,0.32374072780403806,1
1.8220150147101226,0.054516786999984544,0.715756569169105,0.08336990701994948,1.2475511974988451,2.0,0
1.8125824419037087,0.1288015370702082,0.5960369575958127,0.3449929470382879,1.0468465387842376,0.29093634737439744,1
1.5974786281489508,0.03989106258513305,0.9922683028367956,0.4973228414229339,1.2495832527386532,2.0,0
1.7044106534350019,0.32762323604226984,0.8823802464865635,0.3923986823703156,1.0993758737384767,0.28294587767080254,1
1.7082336136663856,0.03258428464009814,0.9566911420333919,0.2494747707402014,0.9511769913293416,2.0,0
1.7284626510496817,0.19580108842011928,0.5211933738706258,0.4688783881556088,1.2848706903533296,0.29092612725369704,1
1.9765664501298523,0.14606600333147624,0.7915150085285527,0.3197132236464489,1.2196669333850956,0.3151652547633066,1
1.5955552692432236,0.1405607584475703,0.44009820842422226,0.2703919644959611,1.0276756998518746,2.0,0
1.6316031898789183,0.034954643647368,0.767716447413714,0.09337616428262825,1.3848310434782818,2.0,0
1.8935253603795272,0.11725688997708608,0.769678998995937,0.012481979918700394,1.4048945003970708,0.2912731044041132,1
1.8342707387250303,0.26459812074434536,0.4647677040605499,0.26637843657681615,1.124183169064916,0.31683428919268464,1
2.10758454954428,0.1932686341037283,0.699223344741259,0.1461324202875455,1.0287003708577347,0.3479774798575655,1
1.8572921180422128,0.14837092228217358,0.428096952035285,0.4522810706720217,1.3674554355560635,0.32016496454853977,1
1.9097296918824742,0.032765576051128,1.013999286683886,0.547362327319125,1.237840948176352,0.3023744427635247,1
1.9894167465571455,0.3380429441943819,1.0142097050209877,0.0,1.0555477843567427,0.3306460226222478,1
2.1448886765592903,0.3380429441943819,1.0020169451818581,0.547362327319125,0.8458108217068722,0.38024877019211184,1
1.9239707881315842,0.1990393996725542,0.9830041426491245,0.0,0.8348782503923473,0.29306235725514873,1
1.7827004437832177,0.202510016928122,1.0081141992905867,0.4854799253015087,0.8526507093027944,0.28543089507561714,1
2.1448886765592903,0.3380429441943819,1.014903005972349,0.0,1.3521797714537773,0.37020976573303155,1
1.8919848945923805,0.10252198923813105,1.012943386265422,0.31091054623941244,1.1499954617222208,0.29841233699785386,1
1.7684726335589656,0.3380429441943819,0.4591895114711608,0.0,1.4241013644984621,0.2975113117120109,1
1.993328781169783,0.3380429441943819,0.43779325012425413,0.547362327319125,1.3496096748633792,0.3670200412661089,1
2.1448886765592903,0.0,1.003959079754884,0.547362327319125,1.4031051786794044,0.346737513231445,1
1.8800921400359467,0.3380429441943819,0.48720600465312586,0.0,1.3380157368320256,0.3231171487228828,1
2.1448886765592903,0.0,1.0030211333016477,0.0,1.1891810279957256,0.3200007052328394,1
1.5448886765592902,0.3380429441943819,1.0073200522338681,0.547362327319125,1.3001374471156188,2.0,0
2.1448886765592903,0.15724760193306073,0.41812736899760344,0.547362327319125,1.4068248830796852,0.3889460490460075,1
1.8133537108678202,0.15666470402867944,0.4228026430735248,0.4222926216569106,1.0040053075312378,0.31496198586111573,1
1.7696209029933019,0.3380429441943819,1.0140381239339578,0.547362327319125,1.4149585763453647,0.3100066075127983,1
1.7522529430323233,0.2505868391066787,1.0134960887025894,0.2363181729223773,1.270362207485504,0.6087864486705283,1
1.8855601865817895,0.3380429441943819,0.9521637351989978,0.547362327319125,0.8503566448691938,0.3200602982529732,1
2.039892105429873,0.21589422514877338,1.012686682673848,0.547362327319125,1.2724073057508383,0.3448913637499395,1
2.0227874882015744,0.20838875002554166,0.45666461348831205,0.0,1.42238488249384,0.33637024507524615,1
1.7532763730017038,0.18209954364194994,1.0031600418156394,0.547362327319125,1.001140802624342,0.29302823864130667,1
1.726971408391909,0.25614817461077216,0.4772663412109633,0.547362327319125,0.8714872072982746,0.30269975639844415,1
2.1448886765592903,0.11840879584874137,0.9801892394877354,0.0,1.3780441653257096,0.33526702613872045,1
2.0519889477823416,0.0,1.0096520210262478,0.547362327319125,1.4262552461906455,0.3333363833246448,1
1.8642471746021616,0.18107295961212794,0.9375573485608995,0.11130347700805344,1.3432940623255443,0.2973546613715888,1
1.8842358668537105,0.05317052660417178,0.970244330646473,0.41399133748001266,1.1291511376756123,0.29413505490256897,1
1.9608618387893149,0.0,0.4870841097122192,0.547362327319125,1.3834339056230003,0.328427882079764,1
2.065853909707632,0.3380429441943819,0.433007136213076,0.0,0.9057482095181368,0.3659357557751274,1
1.6873421439109915,0.3380429441943819,0.4633832630565687,0.0,1.4238705117079349,1.2336884039393656,1
