n,c,delta_u3,delta_l3,delta_u2,delta_l2,obj_f
20.008638575365087,1.8361898840639257,0.11256767937096858,4.0,0.0,0.0,0.46637162175643454
19.982107073877014,1.9447511111484628,0.0,3.856418410863963,0.13190969622942428,0.11666879031434224,0.3806755857584226
19.972835618036104,2.161273681045205,0.07012640133780684,3.8554811305675143,0.055312617612374826,0.0,0.673798518625084
20.09469855859801,1.984698613352062,0.0,3.882235568339409,0.18338120080110454,0.0,0.3794332070404789
19.898681840077455,1.9393674674267656,0.0798463778330023,4.0,0.06190989173939826,0.0646231504511824,0.37769928815904796
17.875314733959275,1.6486422132820737,0.30738842642243974,3.6813678580255207,0.9596894073713088,1.036638337893118,0.3931908994052232
17.536975475180473,1.583580994195387,0.2605526534294844,3.9010226854364074,0.9787806196655008,0.9487656342307637,0.46893706854473294
17.4542411377354,1.744428664199774,0.4017277071542796,3.8362370567720543,0.9980068106772129,0.9008318263011867,0.34864584026463774
17.65590462828949,1.7197413261630996,0.427592745586668,3.898127001138483,0.6487191210066344,0.8193418115313892,0.3398665660357967
17.483511695684786,1.6137727885032647,0.3429534980991678,4.0,0.737417826630998,1.0125342471737064,0.39951961852843293
21.068753132646954,1.785375187287423,0.06226452846979766,0.799465585195579,0.35280195511229495,1.2430777915735904,0.3233026348564333
21.268874837552058,1.7662551728856042,0.1665479508926199,0.682836586759445,0.054765019642678464,0.9540826241930797,0.26814550246912777
21.183265755489085,1.910182053393354,0.05921542911463161,0.8151050386018526,0.1820300711928866,1.147856659955109,0.28710528784984446
21.415022157484426,1.7892059608272535,0.10636785433765854,0.6122433443316896,0.19165989115860596,1.0668150221938524,0.26883083404487007
21.14180765155097,1.9086538139031266,0.0,0.7134063533008405,0.3182299669792531,1.1910553826980934,0.3038706038521193
42.451915848292415,2.728140448827547,1.6138884487080714,1.918758544630462,1.1194456915553843,0.04560049514993891,1.4458537984211912
32.789434648939555,1.6040089394256698,1.0664996196634164,0.5103730245870843,1.655481339720041,1.2242997514190284,1.5004157509315088
54.77598140959321,2.5191378386914445,1.857052350114658,0.08591525475128914,1.0206518341514683,0.9555045107059075,1.2993625163818712
27.04495636981802,1.8481437549577309,0.7038598860459322,1.3560231083435923,1.578106559214293,0.34878343564609704,0.8647997791754001
41.93317125909181,2.296227418866219,1.8591979440143427,0.5766371356209374,0.9864897494892348,1.1449791515775603,1.5784722625536367
38.663492816313315,1.5143624718765112,1.127724806942628,0.053711553852855864,1.447356673149388,1.3632216966748114,1.5721988538448959
