c,delta_u3,delta_l3,delta_u2,delta_l2,obj_f
1.891542050944775,0.027451727641641867,0.7649292571896452,0.26926695583392146,0.9047645805246286,0.28716859743984213
1.9970309324501,0.045629488058336304,0.716230532476368,0.2738613996900116,1.1766272957026842,0.30987642428776047
2.2287304762516125,0.03378741854020067,0.6750845140786239,0.22608955910268155,1.1933164567429893,0.36678203649334445
2.042842992442691,0.036712094127498075,0.6517523938700905,0.22582600398553665,1.1972072610419593,0.32715100594895874
1.9720402677278974,0.043283111387098776,0.664179074514833,0.25183187545483243,1.1371920746260322,0.3022104951114299
1.875750594278655,0.04656585648352872,0.7274417795582513,0.26282725081218955,1.1316721053202408,0.2829337476953508
1.8886789282212415,0.044164450962432225,0.6078509016955248,0.23825028511898896,1.0712022589340646,0.2933369827170119
1.9812353903379278,0.03436431798156245,0.6786344150298664,0.26723429620446926,1.1025716518827695,0.31435447111216525
1.9327578506214262,0.18819418648709246,0.8818711609555354,0.36279356085371944,1.067907823157644,0.32171516745952866
2.02402017258491,0.056412062921912934,0.4251594793720036,0.04917675476245025,1.257491316651472,0.3230039273615524
1.8033017071297075,0.1287286189462359,0.5924394889804132,0.3442086491102197,1.041163272625636,0.2903369247194216
1.7191819162756807,0.19569023999110136,0.5175959052552264,0.46781245231111285,1.2791874241947279,0.2904160581954224
1.9672857153558512,0.14598331131411887,0.7879175399131533,0.31898639597929057,1.2139836672264939,0.3146387817439691
1.884244625605526,0.1171905075981608,0.7660815303805375,0.012453603712541783,1.399211234238469,0.2907715266861299
1.8249900039510294,0.2644483244064278,0.46117023544515046,0.2657728588173785,1.1184999029063143,0.31618409006775644
2.098303814770279,0.1931592193673665,0.6956258761258596,0.14580020667147295,1.023017104699133,0.34726516534644536
1.848011383268212,0.148286925386244,0.4244994834198856,0.45125286673429554,1.3617721693974618,0.31957836814380297
1.9312615226004302,0.24561627087621674,0.8727207306422816,0.05883926649127852,1.3736828133761665,0.3107312783181552
2.0205588250238704,0.10714587243721896,0.9832718725335343,0.15887545866174244,1.1331099838326306,0.3187223582517864
2.1310332802187912,0.3012545631819587,0.8606970471658569,0.4864777851559486,1.3601436901123196,0.37058948399838987
1.8469229580171587,0.10673712576021553,0.8747396947582802,0.3613451046403512,1.0482703436178278,0.28660525814683996
2.060345166287768,0.06636575995952361,0.5977264392317442,0.42455475068509463,1.4071715619301823,0.34176668263582843
1.8360526535066946,0.048615996969534656,0.41989400811660826,0.12541928447484693,0.9031690369655143,0.2825377864531067
2.135607941785289,0.0,1.0115322354916874,0.0,0.8240757062936017,0.3154211773064398
1.7502255390289403,0.0,0.4115322354916873,0.5461179681433668,0.8240757062936017,0.29365109130465367
1.8526505154877264,0.24926445523881952,1.0115322354916874,0.0,0.8240757062936017,0.28560599844291035
1.892960944085791,0.0,0.7148897703569873,0.1774713729106288,1.1786234433799396,0.27629302309116555
1.6742698980903097,0.3378515687040468,0.4115322354916873,0.5461179681433668,1.4240757062936018,0.299761355415679
1.8096756042839515,0.1515855711532999,1.0115322354916874,0.2540870292547627,0.9361762313167467,0.27878310178131177
1.8885077247060804,0.0,1.0115322354916874,0.29960151386769285,1.1607618590591282,0.29076861216797756
1.9608523199625028,0.014561549728460525,0.4115322354916873,0.0,0.8240757062936017,0.3057547566876909
1.7295206882714853,0.3378515687040468,1.0115322354916874,0.5243404626080571,1.4240757062936018,0.2941125428774628
1.8207736930042007,0.13675517059548684,0.7511613870651942,0.11735184821536339,0.9371096616021284,0.2780685510334321
1.7260959482475404,0.3378515687040468,1.0115322354916874,0.3162612453933203,1.1048010285065606,0.28357894974500353
1.8609495907751141,0.0,1.0115322354916874,0.4861319938908554,0.8240757062936017,0.2838732092373083
1.7037943642946927,0.3378515687040468,1.0115322354916874,0.5274847575632906,0.8240757062936017,0.2798202278216184
1.6201784974798232,0.3378515687040468,0.4115322354916873,0.5461179681433668,1.1532486044519603,0.29108778028462357
1.5965835182756414,0.3378515687040468,0.4115322354916873,0.5461179681433668,0.8240757062936017,0.289280126767841
1.70296813683836,0.3378515687040468,1.0115322354916874,0.5461179681433668,0.9640338182594337,0.2846622496506278
1.9071296235065514,0.056386927812107475,0.6660250892794959,0.0,1.1710747198971831,0.2807540057647889
1.723998192882186,0.3255260709870572,0.4115322354916873,0.0,0.8240757062936017,0.28712712611477703
1.7757515595281148,0.1667367951221127,0.8615245253507448,0.33924045697365623,0.8240757062936017,0.28032025279271083
1.9617692566532883,0.0,0.7255973721865335,0.0,1.3418140772718128,0.28792382973277464
1.8340956299175686,0.13934858100196584,0.6086290664151929,0.0,0.8240757062936017,0.27685164718655114
1.7431375281656347,0.3378515687040468,1.0115322354916874,0.1525881086430341,0.8240757062936017,0.28434460546098933
1.688279243501126,0.3378515687040468,0.4115322354916873,0.084477039826262,1.4240757062936018,0.284159451352094
1.854944889009129,0.06979675862160564,0.8553499939755156,0.16707253001162461,0.8240757062936017,0.2780073537689257
