n,c,delta_u3,delta_l3,delta_u2,delta_l2,obj_f
20.094694824845384,1.9846980173056143,0.0,3.8822343762465135,0.18338120080110454,0.0,0.37943363291699134
19.898678106324827,1.9393668713803178,0.0798463778330023,4.0,0.06190989173939826,0.0646231504511824,0.37769923900784924
23.906378896741426,1.9672857153558512,0.14598331131411887,0.7879175399131533,0.31898639597929057,1.2139836672264939,0.39287786217257814
23.59112974125815,1.9967964369358833,0.03640044760485758,0.9611393425742523,0.12572399694568784,0.8465232399993096,0.3281431140253103
20.06302403246115,1.7911371936093952,0.22025591967903235,0.9320266145430822,0.24788124298611816,0.9727794440644166,0.28097941628108974
26.11689040425525,2.016823469949445,0.26334770991916606,0.797022201089016,0.4254239063532975,0.90480703134149,0.4810962021664129
25.484663793771105,1.8241541987653362,0.11093734821238521,0.7327931093896893,0.463414129975794,1.215628110629663,0.6265103194215065
24.3651018778601,1.8552413074247334,0.213832213908512,0.5844256040011644,0.40133836060334943,0.9455184621690327,0.34827561504749593
20.906664416374838,1.8009964180260252,0.10200664283356659,0.96259737280102,0.42667871115239103,0.890428752891268,0.3051554617378944
26.291530176765058,2.0631279563699363,0.09591891110068096,0.9136701832882503,0.058117618516367875,1.423538544578145,0.5780467410729981
22.10135575646475,1.955473508538729,0.21934443995430555,0.9758888813089985,0.08106519956839578,1.129087349361767,0.34295622412293336
24.195505818248865,1.8650945719450969,0.14575531400899452,0.7871397240563216,0.19696145068597554,1.1317192530576567,0.45669120213671743
23.87448532633677,1.795875358178845,0.158562840951288,0.5019360197796314,0.09880729569930323,1.3683378795873309,0.3480087777133706
25.494560323906086,1.9141072860041346,0.05997087733162367,0.6148456168574503,0.1046378463271475,0.8389695853727452,0.3033152891272219
23.351518255378252,1.9158698056268468,0.3317046795402087,0.7837468612865138,0.26077453748210067,1.2809352442040063,0.4116193683061269
25.354462318029857,1.9680255098163002,0.32542242286950224,0.8807353379345937,0.47337584024735124,0.892538149003784,0.5004495749312536
23.645318628327203,1.7996611615017104,0.1868669873008225,0.8039936811811015,0.5296334610099677,1.4148225551525766,0.5610459361222416
