c,delta_u3,delta_l3,delta_u2,delta_l2,obj_f,feasible
1.9011055855586068,0.027643103131976966,0.7687966982674749,0.2706283550432033,0.9093390214570385,0.28780816553680943,1
1.604651053853505,0.03932134822605478,0.6925142569582143,0.2469467299769334,1.0333855693449916,0.23718958454753,1
2.0071278131606505,0.0458208635486714,0.7198517554279804,0.2752460281596882,1.1825762598636511,0.31052733274966465,1
1.6863587830966873,0.04173045203520691,0.6465571610466592,0.26909187841568033,1.1241185478627465,0.25054984177557327,1
1.8107836284366263,0.03123364875034251,0.8025572666855508,0.2435398500867292,1.0813682524282353,0.2722335849343946,1
1.779923956566055,0.04336603604991541,0.7412636946687242,0.2575717772556134,1.1784313618191047,0.2724118503518974,1
2.2399988173619185,0.03397879403053577,0.6784977049798933,0.2272326557223021,1.199349800402263,0.3675569502217876,1
2.0531714964582854,0.036903469617833175,0.6550476188297002,0.22696776808469635,1.2032602763979683,0.32783984627181795,1
1.9820107969851593,0.043474486877433875,0.667537128101711,0.2531051238378521,1.1429416564356618,0.3154687451281484,1
1.88523428813909,0.04675723197386382,0.7311196859705767,0.26415609122012335,1.1373937784627082,0.28353581358535745,1
1.8982279870409684,0.044355826452767325,0.6109241630779565,0.23945486571361724,1.076618199793859,0.2939569125513611,1
1.7270228257664195,0.035291521682115086,0.8220373978631381,0.22594492733480548,1.2391510883453016,0.25223575832399053,1
1.5344179379814986,0.03469409389452417,0.7267686592361932,0.26186325934027244,1.2101104334489505,0.21973298971183083,1
1.9912524096392865,0.03455569347189755,0.6820655540389274,0.2685854183962697,1.1081461947018119,0.3150236507777699,1
1.6095387512825217,0.026710072054347115,0.6493769399841951,0.2596602111892097,1.1458496477755866,0.23746253746283333,1
1.9420385853954274,0.1883007887883792,0.8854686295709349,0.3636202055032063,1.0735910893162457,0.3222477594237294,1
2.0333009073589112,0.056444017446332956,0.42875694798740305,0.04928880664426382,1.2631745828100738,0.32374075171685296,1
1.8220150147101226,0.054516786999984544,0.715756569169105,0.08336990701994948,1.2475511974988451,0.26667912319719944,1
1.8125824419037087,0.1288015370702082,0.5960369575958127,0.3449929470382879,1.0468465387842376,0.2909363260322605,1
1.5974786281489508,0.03989106258513305,0.9922683028367956,0.4973228414229339,1.2495832527386532,0.24324797521698943,1
1.7044106534350019,0.32762323604226984,0.8823802464865635,0.3923986823703156,1.0993758737384767,0.27671468102369323,1
1.7082336136663856,0.03258428464009814,0.9566911420333919,0.2494747707402014,0.9511769913293416,0.25316533005970954,1
1.7284626510496817,0.19580108842011928,0.5211933738706258,0.4688783881556088,1.2848706903533296,0.2909261111295509,1
1.9765664501298523,0.14606600333147624,0.7915150085285527,0.3197132236464489,1.2196669333850956,0.31516534627291476,1
1.5955552692432236,0.1405607584475703,0.44009820842422226,0.2703919644959611,1.0276756998518746,0.2502643712346395,1
1.6316031898789183,0.034954643647368,0.767716447413714,0.09337616428262825,1.3848310434782818,0.2340784991248758,1
1.8935253603795272,0.11725688997708608,0.769678998995937,0.012481979918700394,1.4048945003970708,0.2912730530717891,1
1.8342707387250303,0.26459812074434536,0.4647677040605499,0.26637843657681615,1.124183169064916,0.3168342376860474,1
2.10758454954428,0.1932686341037283,0.699223344741259,0.1461324202875455,1.0287003708577347,0.3479775019941183,1
1.8572921180422128,0.14837092228217358,0.428096952035285,0.4522810706720217,1.3674554355560635,0.3201649517561683,1
1.5448886765592902,0.0,0.867807680773715,0.0,1.4296883682032215,0.20878846337097354,1
