c,delta_u3,delta_l3,delta_u2,delta_l2,feasible
1.891542050944775,0.027451727641641867,0.7649292571896452,0.26926695583392146,0.9047645805246286,1
1.596578837342637,0.03912997273571968,0.6890305556228957,0.2457044614686255,1.0281871107549279,0
1.9970309324501,0.045629488058336304,0.716230532476368,0.2738613996900116,1.1766272957026842,1
1.677875534866818,0.04153907654487181,0.6433046474374933,0.2677382084706341,1.1184636559281793,0
1.8016744595192014,0.03104227326000741,0.7985199926604606,0.2423147199288647,1.0759284163712823,0
1.7709700276007647,0.04317466055958031,0.7375347586981014,0.25627605931861774,1.1725032486178222,0
2.2287304762516125,0.03378741854020067,0.6750845140786239,0.22608955910268155,1.1933164567429893,1
2.042842992442691,0.036712094127498075,0.6517523938700905,0.22582600398553665,1.1972072610419593,1
1.9720402677278974,0.043283111387098776,0.664179074514833,0.25183187545483243,1.1371920746260322,1
1.875750594278655,0.04656585648352872,0.7274417795582513,0.26282725081218955,1.1316721053202408,1
1.8886789282212415,0.044164450962432225,0.6078509016955248,0.23825028511898896,1.0712022589340646,1
1.7183350165786717,0.035100146191779986,0.8179021288028357,0.22480830864839418,1.2329175238262242,0
1.5266990300084526,0.03450271840418907,0.7231126407164162,0.260545953050808,1.2040229582951454,0
1.9812353903379278,0.03436431798156245,0.6786344150298664,0.26723429620446926,1.1025716518827695,1
1.6014419471506927,0.026518696564012015,0.6461102414430204,0.2583539873600824,1.1400854372803924,0
1.9327578506214262,0.18819418648709246,0.8818711609555354,0.36279356085371944,1.067907823157644,1
2.02402017258491,0.056412062921912934,0.4251594793720036,0.04917675476245025,1.257491316651472,1
1.8127342799361217,0.05448592353419477,0.7121591005537056,0.08318037605735931,1.2418679313402434,0
1.8033017071297075,0.1287286189462359,0.5924394889804132,0.3442086491102197,1.041163272625636,1
1.5881978933749499,0.0398684791477523,0.9886708342213961,0.4961922407035351,1.2438999865800515,0
1.695129918661001,0.3274377594378337,0.8787827778711641,0.39150661348542454,1.093692607579875,0
1.6989528788923847,0.032565837772452144,0.9530936734179924,0.2489076213318539,0.9454937251707399,0
1.7191819162756807,0.19569023999110136,0.5175959052552264,0.46781245231111285,1.2791874241947279,1
1.9672857153558512,0.14598331131411887,0.7879175399131533,0.31898639597929057,1.2139836672264939,1
1.5862745344692226,0.14048118310209495,0.4365007398088228,0.26977726248729383,1.0219924336932729,0
1.6223224551049173,0.03493485485371799,0.7641189787983146,0.09316388535690953,1.37914777731968,0
1.884244625605526,0.1171905075981608,0.7660815303805375,0.012453603712541783,1.399211234238469,1
1.8249900039510294,0.2644483244064278,0.46117023544515046,0.2657728588173785,1.1184999029063143,1
2.098303814770279,0.1931592193673665,0.6956258761258596,0.14580020667147295,1.023017104699133,1
1.848011383268212,0.148286925386244,0.4244994834198856,0.45125286673429554,1.3617721693974618,1
