,0
0,0.37249574333036134
1,0.33701458382996535
2,0.2714734432847754
3,83.69939652978091
4,6.616745417209632
5,140.10016188711523
6,135.33167495530932
7,34.270973465217914
8,138.41322906602113
9,27.982215932993274
10,139.28291223767903
11,73.00575260640473
12,23.950016194185494
13,86.83042401712235
14,66.73271092052532
15,1.1533642590791853
16,2.5303547002814266
17,30.00596347806665
18,75.09130431696498
19,4.615916343992898
20,110.26225403084837
21,2.846419588705892
22,114.15300579090295
23,130.4181868186429
24,4.4186861535980935
25,77.86953550392131
26,7.179966829345871
27,5.693808104112109
28,88.0409711196256
29,20.500039952685405
30,59.78880319251511
31,136.80576992785072
32,101.77641362985533
33,2.191391194899535
34,32.85513580948116
35,131.31366619487514
36,37.109220371521246
37,95.22984531372012
38,19.788348862788645
39,17.021460540708755
40,32.305632106575715
41,36.54089231416321
42,102.30837125297323
43,50.23347648963456
44,5.651612041807917
45,8.698156164862162
46,13.710203352426177
47,12.50127982989197
48,0.6958283052113434
49,132.1709480680519
50,108.3464327932002
51,36.21140207511278
52,123.9484992960348
53,1.7900363319030541
54,9.19360675677192
55,65.4911171809421
56,5.846639211508242
57,44.10841166003392
58,121.39248715021911
59,62.224158134845176
60,1.8286324892835064
61,110.4952110311294
62,137.4621715835574
63,157.31670228365257
64,138.58587916534327
65,13.282688304276178
66,98.73999609927073
67,57.70470092997759
68,138.09218284243013
69,121.81942889629913
70,5.032127869241973
71,138.29588243710577
72,14.876680298087061
73,18.805786633133817
74,133.65236655613586
75,34.27935584913833
76,126.77920341206054
77,134.1981091953702
78,7.088811610509831
79,10.960740220539098
80,45.69618613416214
81,25.375744928839488
82,22.5446759669835
83,69.38349729478425
84,127.97798218568137
85,3.064665152515102
86,38.4198404907186
87,24.77006227257326
88,13.278922413091232
89,61.845336242870914
90,24.946742876166077
91,131.14982709825347
92,139.34584680723933
93,60.74003406950652
94,103.45465301559412
95,7.962140055846273
96,125.16502547054456
97,17.63648329929258
98,83.48597958017706
99,60.967199589087876
100,54.48300445535666
101,40.66028117168388
102,10.063339450630526
103,50.15351840160827
104,99.0156589308226
105,74.43590964980167
106,113.85730437804851
107,118.14909488942112
108,57.66810512367502
109,1.8485480813852284
110,65.07745867271537
111,0.49129708988877696
112,13.967882621411713
113,4.438790160883182
114,23.52231125283033
115,3.3657396912501705
116,101.16664932317362
117,25.13508691009637
118,1.676187187785547
119,4.542685495803431
120,5.767500155080287
121,17.360191385989282
122,1.7414335449739258
123,30.01322689187406
124,136.74444150006212
125,1.775303459520807
126,29.896912378225018
127,26.163305499170733
128,73.71207906859333
129,136.45545577901726
130,86.16031115193395
131,13.770371663073576
132,1.0139935789483867
