,0
0,0.37249411174223185
1,0.33701278485548897
2,0.27147343826309484
3,125.26585043680426
4,72.296027289382
5,141.05042560194485
6,26.117733073691277
7,68.82600913369666
8,67.18419988173426
9,74.78510535836402
10,4.932506794444645
11,6.1627831185639685
12,132.85607649642412
13,137.35963189157485
14,131.36924552195347
15,140.70343403682023
16,131.1536429227392
17,51.81447054039137
18,110.2851930821356
19,83.72993525533106
20,2.627163704408611
21,52.93028248045414
22,140.71097750079542
23,137.9796331100155
24,141.07404465355768
25,140.65831946031963
26,17.972345880902964
27,123.78916588902112
28,139.91019780445458
29,140.6483382853759
30,119.46451857565299
31,1.6042710134991434
32,135.32236364285058
33,134.47759252109333
34,4.27284503779186
35,0.937196480236375
36,140.42311597273658
37,118.06546811833978
38,2.164440357137946
39,140.8542363499277
40,91.20154955548742
41,0.6919591942191203
42,128.16518259152858
43,122.75383252795939
44,135.9946675460274
45,140.6857817584605
46,11.93600008539209
47,76.75494506360056
48,7.334018201080798
49,67.71280421343998
50,36.71482042657617
51,104.14241372229301
52,52.286524917952796
53,128.84213601792942
54,1.3239052039559163
55,140.9697310858482
56,1.3827841025731402
57,138.8574203642052
58,9.1053002913671
59,138.20583380748343
60,99.0674100012815
61,140.78396668570596
62,140.9320473571399
63,9.124923803259753
64,125.16759774966275
65,107.5798117842069
66,120.06605901512947
67,140.7344772539566
68,202.6117520362
69,153.33464239716938
70,57.9693450196992
71,138.37834595553582
72,130.73691203980502
73,15.639736000691544
74,139.26780161333886
75,3.344182365291438
76,124.43921308745699
77,63.93331882959236
78,74.97344418105095
79,57.986406919015664
80,124.72402277550619
81,81.20454990882124
82,134.8927532757442
83,32.00241651488929
84,42.932954774445854
85,91.63629562685897
86,64.87152871781537
87,140.71052650591784
88,41.21326127360208
89,30.57011523008032
90,34.386958881570536
91,98.0180177452242
92,22.30735204980161
93,183.24626659909916
94,125.35854070596433
95,140.44848395521385
96,32.55948436122296
97,120.25044939877853
98,10.664631574664082
99,49.263852979495155
100,119.37949250690102
101,140.33997639211938
102,134.50322239073824
103,140.8589032123582
104,136.05192101878112
105,140.2110329836798
106,64.50308263969204
107,156.77003842280396
108,125.21033344762768
109,85.68646233775469
110,77.44113247643004
111,102.39820667146894
112,13.468193578285396
113,35.68921256106321
114,140.74131361206588
115,34.07672346191842
116,114.79483252281848
117,34.416426798201904
118,102.6845110457511
119,138.3526093319057
120,16.58900052377255
121,0.4825606066272033
122,136.2362231475145
123,75.16448463194264
124,57.636260896101206
125,29.70389192577561
126,138.3893505639845
127,3.272582889333962
128,121.16999977021662
129,115.19450248987192
130,117.94973517140444
131,151.43952062168626
132,220.0658951729188
133,35.30497215086441
134,125.13811513764752
135,2.9082125389716524
136,33.64895165120991
137,141.01429254047872
138,124.46796994972327
139,35.55442543610224
140,140.6652736538036
141,0.7587914874886914
142,140.2946649023673
143,31.780386564024266
144,124.84388151137834
145,124.66122272766144
146,234.88881738635828
147,111.73296367176847
148,140.90424802540966
149,9.939717009514371
150,21.085413250662658
151,123.4909681377617
152,111.62657091494195
153,114.24142557348564
154,71.72650668510695
155,124.79149447015752
156,37.874725505411256
157,140.41949966880867
158,139.01513627604936
159,94.67421474085157
160,124.84167494770108
161,39.43532498874484
162,140.72886573046313
163,148.5710548039407
164,0.6701360647093781
165,123.45684377564005
166,36.61634128487405
167,121.23593780512348
168,35.85852899687676
169,116.87729234651994
170,31.39654140472507
171,26.316475624713405
172,172.82230390953316
173,15.684374579861151
174,137.11412341984953
175,14.5488860124002
176,24.967574071636257
177,3.7348375276744754
178,87.84986011500695
179,29.822496778221755
180,44.514306987950846
181,35.712915751211426
182,140.1970945519557
183,114.53892737412268
184,53.14776020042694
185,20.26962718816957
186,101.91021159837699
187,120.61277805779945
188,145.66964110741733
189,116.09611660247872
190,2.803494474152008
191,121.20285661885352
192,7.770410459247719
193,43.008623605710575
194,53.58690712612139
