,0,1,2,3,4,5
0,1.9921859069427228,1.9921859069427228,1.9921859069427228,-1.9921859069427228,-1.9921859069427228,19.962924650976866
1,2.9611297079773578,2.093834896483731,1.7096090340061254,-2.9611297079773578,-2.093834896483731,17.554100909662424
2,2.119577478632703,1.8734595104893361,1.8356079417852893,6.285533994301575e-16,1.1240757062936024,21.321187236364494
3,2.9545898391293433,1.7036477185205539,-2.8,-1.4769164719834065,2.6,7.623173015997059
4,-3.0,-2.9,2.8,2.7,2.6,60.0
5,-3.0,-2.9,1.8420356395714428,-2.7,-2.6,60.0
6,-1.4965975483770337,2.4737898022137084,1.8282460805163425,1.979292226043118,0.741994667104939,15.030964495427495
7,-1.1317296169803375,2.5191383865579495,0.27785985489661424,2.3477537810146876,-1.9583007349331245,56.55786082976686
8,-2.390232125808285,2.069762585853803,2.3188364796116208,-2.2541976683427225,-1.4167019016499822,31.894531532904168
9,0.6203250245089507,-0.9043573304571515,-1.1711438307183715,-1.1759080229170378,0.3163403645908609,43.480065072123836
10,-2.525181062451848,-0.46153078739734177,-1.9540603771313196,-0.8942959745825809,1.7094828394748967,50.8683366265466
11,1.4039209976202862,-1.9936507181967742,1.3476249369679199,-0.7966750058751346,1.9271663176683886,35.53447166966538
12,0.9511582166300059,0.6435034760411389,0.4521024987104356,1.9466226642394062,1.1352300871725558,22.550491762044018
13,1.4108630765711805,-0.426741171987858,2.5350106114782944,2.4455617328608623,1.8757018277344328,10.70587469027738
14,-2.1118832740802493,-2.8049150888817556,-0.7134047532297734,2.0282281661236174,0.1638391334439917,13.070471373337423
15,1.6698828406879267,0.29777959782557994,-0.525464406221265,-1.905399433957087,2.2221028849203015,45.02049960880555
16,2.7758567125820583,2.5115179746237755,2.5991100663484197,-2.339966698803619,1.5220838468316198,57.53933213660282
17,1.5179108378566806,1.8177005963284656,1.4634063375286361,1.2980339767747608,1.7875785792161154,10.0095896440778
18,1.3599268874617607,-0.6577366206999837,2.147529923229733,-1.779995722494467,1.3163351727905481,50.51623225325789
